#,都府県振興局,アメダス観測所番号,地上観測所観測所番号,種類,観測装置の種類,観測_降水量,観測_気温,観測_風向,観測_風速,観測_相対湿度,観測_日照時間（ESは気象衛星等のデータからの推計値）,観測_降雪の深さ,観測所名_漢字名,観測所名_カタカナ名,観測所名_ローマ字名,観測所名_気象情報等に表記する名称,所在地_住所1,所在地_住所2,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ),風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,観測終了年月日,備考1,備考2
#,Prefectural Development Bureau,AMeDAS station number,Surface station station number,Type,Type of Observation Instrument,Observation_Precipitation,Observation_Temperature,Observation_wind_direction,Wind Speed,Relative humidity,Sunshine hours (ES is estimated from meteorological satellite data),Observation_Depth of snowfall,Station name_Kanji,Station name_Katakana,Station name_Roman alphabet,"Station name_Name to be written in meteorological information,etc.",Location_Address1,Location_Address2,Latitude (degree),Latitude (minutes),Longitude(degree),Longitude (minutes),Height above sea level (m),Height of anemometer (m),Height of thermometer (m),Observation start date,Observation end date,Remark 1,Remark 2
11,宗谷,11276,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,中頓別,ナカトンベツ,NAKATOMBETSU,中頓別,枝幸郡中頓別町上駒,-,44,57.9,142,16.8,25,10.2,1.5,(1975.5.28)1977.10.19,-,11915,湿度を除く
12,宗谷,11291,47402,官,地上気象観測装置,Y,Y,Y,Y,Y,Y,Y,北見枝幸,キタミエサシ,KITAMI-ESASHI,枝幸町枝幸,枝幸郡枝幸町本町,北見枝幸特別地域気象観測所,44,56.4,142,35.1,7,17.2,-,#1976.1.1,-,11917,-
13,宗谷,11316,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,歌登,ウタノボリ,UTANOBORI,枝幸町歌登,枝幸郡枝幸町歌登東町,-,44,50.5,142,28.8,14,10,1.5,#1977.10.25,-,11920,湿度を除く
14,宗谷,13011,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,幌延,ホロノベ,HORONOBE,幌延,天塩郡幌延町上幌延,-,45,0.4,141,51.1,5,-,-,2005.11.15,-,-,-
15,上川,12011,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,中川,ナカガワ,NAKAGAWA,中川,中川郡中川町中川,-,44,49.7,142,4.6,22,10,1.5,1977.10.19,-,-,湿度を除く
16,上川,12041,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,音威子府,オトイネップ,OTOINEPPU,音威子府,中川郡音威子府村音威子府,-,44,43.6,142,15.9,40,10,1.5,1977.10.17,-,12905,湿度を除く
17,上川,12066,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,小車,オグルマ,OGURUMA,美深町小車,中川郡美深町小車,-,44,36.5,142,17.7,60,-,-,2005.11.9,-,-,-
18,上川,12141,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,美深,ビフカ,BIFUKA,美深町西町,中川郡美深町西町,-,44,28.8,142,20.5,77,10,1.5,#1977.10.6,-,12900,湿度を除く
19,上川,12181,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,名寄,ナヨロ,NAYORO,名寄市大橋,名寄市大橋,-,44,22.2,142,27.4,89,9.9,1.5,#1976.4.1,-,12910,-
20,上川,12217,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,西風連,ニシフウレン,NISHIFUREN,名寄市西風連,名寄市風連町西風連,-,44,17.7,142,21.5,128,-,-,2005.11.8,-,-,-
21,上川,12231,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,下川,シモカワ,SHIMOKAWA,下川,上川郡下川町南町,-,44,17.7,142,38.2,143,10,2.4,#1977.10.14,-,12925,湿度を除く
22,上川,12256,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,剣淵,ケンブチ,KENBUCHI,剣淵,上川郡剣淵町旭町,-,44,6.4,142,21.2,138,-,-,2005.11.10,-,-,-
23,上川,12261,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,士別,シベツ,SHIBETSU,士別市九十九東,士別市武徳町,-,44,11.2,142,25,135,8,1.5,#1977.10.13,-,-,湿度を除く
24,上川,12266,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,朝日,アサヒ,ASAHI,士別市朝日,士別市朝日町中央,-,44,7.1,142,35.7,225,10,1.5,1977.10.13,-,-,湿度を除く
25,上川,12301,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,和寒,ワッサム,WASSAMU,和寒,上川郡和寒町日ノ出,-,44,1.7,142,24.6,150,10,1.5,1977.10.12,-,12915,湿度を除く
26,上川,12386,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,江丹別,エタンベツ,ETAMBETSU,旭川市江丹別,旭川市江丹別町芳野,-,43,52.2,142,15.6,140,10,3.2,1977.10.11,-,-,湿度を除く
27,上川,12396,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,比布,ピップ,PIPPU,比布,上川郡比布町北2線,-,43,52.2,142,28.2,164,10,2.5,(1975.5.27)1977.10.11,-,-,湿度を除く
28,上川,12411,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,上川,カミカワ,KAMIKAWA,上川町栄町,上川郡上川町栄町,-,43,50.8,142,45.2,324,10,2.4,#1977.10.12,-,12920,湿度を除く
29,上川,12442,47407,官,地上気象観測装置,Y,Y,Y,Y,Y,Y,Y,旭川,アサヒカワ,ASAHIKAWA,旭川市宮前１条,旭川市宮前1条,旭川地方気象台,43,45.4,142,22.3,120,47,-,2004.9.9,-,12927,-
30,上川,12451,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,東川,ヒガシカワ,HIGASHIKAWA,東川,上川郡東川町北町,-,43,42.1,142,30.5,215,10,2.2,1977.10.5,-,-,湿度を除く
31,上川,12457,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,瑞穂,ミズホ,MIZUHO,旭川市瑞穂,旭川市東旭川町瑞穂,-,43,44.2,142,38.3,289,-,-,1984.10.8,-,-,-
32,上川,12471,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,Y,層雲峡,ソウウンキョウ,SOUNKYO,上川町層雲峡,上川郡上川町層雲峡高山,-,43,45.2,142,55.8,540,-,-,1975.5.27,-,12930,-
33,上川,12501,-,官,地上気象観測装置,Y,Y,Y,Y,Y,N,Y,東神楽,ヒガシカグラ,HIGASHI-KAGURA,旭川空港,上川郡東神楽町東2線,旭川航空気象観測所,43,40.2,142,26.8,211,10,-,2003.1.1,-,12932,日照・湿度・気圧を除く
34,上川,12512,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,志比内,シビナイ,CHUBETSU,東神楽町志比内,上川郡東神楽町志比内,-,43,38.6,142,34.9,310,10,1.5,1992.10.9,-,-,湿度を除く
35,上川,12551,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,美瑛,ビエイ,BIEI,美瑛町原野５線,上川郡美瑛町原野5線,-,43,35.3,142,29.6,250,10,1.5,(1975.5.28)1977.10.6,-,12935,湿度を除く
36,上川,12596,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,上富良野,カミフラノ,KAMIFURANO,上富良野,空知郡上富良野町大町,-,43,27.3,142,27.9,220,10,2.1,1977.10.8,-,-,湿度を除く
37,上川,12607,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,白金,シロガネ,SHIROGANE,美瑛町白金,上川郡美瑛町白金,-,43,28.5,142,39,658,-,-,1984.10.8,-,-,-
38,上川,12626,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,富良野,フラノ,FURANO,富良野市東町,富良野市東町,-,43,20,142,24,174,9.9,1.5,#1976.4.1,-,12940,-
39,上川,12632,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,麓郷,ロクゴウ,ROKUGO,富良野市麓郷,富良野市麓郷市街地,-,43,18.1,142,31.3,315,10,2.3,1978.10.25,-,-,湿度を除く
40,上川,12686,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,金山,カナヤマ,KANAYAMA,南富良野町金山,空知郡南富良野町金山地先,-,43,8.3,142,25,284,-,-,2005.11.17,-,-,-
41,上川,12691,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,幾寅,イクトラ,IKUTORA,南富良野町幾寅,空知郡南富良野町幾寅,-,43,10.1,142,34.1,350,9.9,1.5,1977.10.7,-,12945,-
42,上川,12746,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,占冠,シムカップ,SHIMUKAPPU,占冠,勇払郡占冠村中央,-,42,58.7,142,23.7,332,10,1.5,1977.10.7,-,12950,湿度を除く
43,上川,15041,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,朱鞠内,シュマリナイ,SHUMARINAI,幌加内町朱鞠内,雨竜郡幌加内町朱鞠内,-,44,16.9,142,9.7,255,10,1.5,1978.10.24,-,15900,湿度を除く
44,上川,15076,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,幌加内,ホロカナイ,HOROKANAI,幌加内町幌加内,雨竜郡幌加内町幌加内,-,44,0.6,142,9.6,159,9.4,1.5,(1975.5.28)1977.10.28,-,15905,湿度を除く
45,留萌,13061,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,天塩,テシオ,TESHIO,天塩,天塩郡天塩町川口,-,44,53.6,141,45.7,9,10,1.5,#1977.10.26,-,13900,湿度を除く
46,留萌,13086,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,遠別,エンベツ,EMBETSU,遠別,天塩郡遠別町幸和,-,44,43.1,141,48.4,7,10,1.5,#1977.10.26,-,-,湿度を除く
47,留萌,13121,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,初山別,ショサンベツ,SHOSAMBETSU,初山別,苫前郡初山別村初山別,-,44,31.4,141,46.2,27,10,1.5,1977.10.28,-,13905,湿度を除く
48,留萌,13146,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,焼尻,ヤギシリ,YAGISHIRI,羽幌町焼尻,苫前郡羽幌町焼尻白浜,-,44,25.7,141,25.3,38,8,1.5,1977.10.27,-,-,湿度を除く
49,留萌,13181,47404,官,地上気象観測装置,Y,Y,Y,Y,Y,Y,Y,羽幌,ハボロ,HABORO,羽幌町南３条,苫前郡羽幌町南3条,羽幌特別地域気象観測所,44,21.8,141,42,8,21.6,-,#1976.1.1,-,13907,-
50,留萌,13206,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,Y,古丹別,コタンベツ,KOTAMBETSU,苫前町古丹別,苫前郡苫前町古丹別,-,44,15.9,141,43.3,15,-,-,1976.8.4,-,13910,-
51,留萌,13261,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,達布,タップ,TAPPU,小平町達布,留萌郡小平町達布,-,44,2.9,141,51.4,30,10,3.4,1977.10.31,-,-,湿度を除く
52,留萌,13277,47406,官,地上気象観測装置,Y,Y,Y,Y,Y,Y,Y,留萌,ルモイ,RUMOI,留萌市大町,留萌市大町,留萌特別地域気象観測所,43,56.7,141,37.9,24,16.3,-,1980.6.21,-,13915,-
53,留萌,13311,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,増毛,マシケ,MASHIKE,増毛,増毛郡増毛町別苅,-,43,50.9,141,30.6,20,9.4,1.5,#1978.10.24,-,-,湿度を除く
54,留萌,13321,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,幌糠,ホロヌカ,HORONUKA,留萌市幌糠,留萌市幌糠町,-,43,51.2,141,45.6,20,10,1.5,1977.10.31,-,13920,湿度を除く
55,石狩,14026,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,浜益,ハママス,HAMAMASU,石狩市浜益,石狩市浜益区川下,-,43,34.9,141,23.2,3,10,1.5,1977.10.12,-,-,湿度を除く
56,石狩,14071,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,厚田,アツタ,ATSUTA,石狩市厚田,石狩市厚田区別狩,-,43,23.8,141,26.2,5,10,1.5,1977.10.12,-,14900,湿度を除く
57,石狩,14101,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,新篠津,シンシノツ,SHINSHINOTSU,新篠津,石狩郡新篠津村第46線北,-,43,13.2,141,38.7,9,10,1.5,#1978.10.23,-,14910,湿度を除く
58,石狩,14116,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,山口,ヤマグチ,YAMAGUCHI,札幌市手稲区山口,札幌市手稲区手稲山口,-,43,8.9,141,13.3,5,10,1.5,#1977.10.11,-,-,湿度を除く
59,石狩,14121,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,石狩,イシカリ,ISHIKARI,石狩市石狩,石狩市生振,-,43,11.6,141,22.2,5,10.1,1.5,1990.3.6,-,14905,-
60,石狩,14136,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,江別,エベツ,EBETSU,江別,江別市江別太,-,43,6.6,141,36.1,8,8,1.5,2000.10.31,-,-,湿度を除く
61,石狩,14157,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,手稲山,テイネヤマ,TEINEYAMA,札幌市手稲山,札幌市手稲区手稲金山,-,43,5,141,12.1,568,-,-,19902.3.24,-,-,-
62,石狩,14163,47412,官,地上気象観測装置,Y,Y,N,N,Y,Y,Y,札幌,サッポロ,SAPPORO,札幌市中央区,札幌市中央区北2条西,札幌管区気象台,43,3.6,141,19.7,17,-,-,2001.9.26,-,14913,気温、雨、日照
63,石狩,14163,47412,官,地上気象観測装置,N,N,Y,Y,N,Y,Y,札幌,サッポロ,SAPPORO,札幌市中央区,札幌市中央区北2条西,-,43,3.6,141,19.6,17,59.7,-,2001.9.26,-,-,風
64,石狩,14191,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,Y,小金湯,コガネユ,KOGANEYU,札幌市南区小金湯,札幌市南区小金湯,-,42,57.8,141,13,230,-,-,#,-,14915,-
65,石狩,14206,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,恵庭島松,エニワシママツ,ENIWASHIMAMATSU,恵庭市島松,恵庭市下島松,-,42,55.6,141,33.9,30,10,1.5,#1977.10.13,-,14920,湿度を除く
66,石狩,14286,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,支笏湖畔,シコツコハン,SHIKOTSUKOHAN,千歳市支笏湖畔,千歳市支笏湖温泉番外地,-,42,46.3,141,24.4,290,10,1.5,#1977.10.14,-,-,湿度を除く
67,石狩,14296,-,官,地上気象観測装置,Y,Y,Y,Y,Y,N,Y,千歳,チトセ,CHITOSE,新千歳空港,千歳市美々,新千歳航空測候所,42,46.5,141,41.5,22,10,-,2003.1.1,-,14923,日照・湿度・気圧を除く
68,空知,15116,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,石狩沼田,イシカリヌマタ,ISHIKARINUMATA,沼田町石狩沼田,雨竜郡沼田町緑町,-,43,48.9,141,55.6,63,10,1.5,#1976.4.1,-,15935,湿度を除く
69,空知,15156,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,秩父別,チップベツ,CHIPPUBETSU,秩父別,雨竜郡秩父別町５条,-,43,46.8,141,57.7,51,7.9,1.5,2022.10.31,-,15940,-
70,空知,15161,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,深川,フカガワ,FUKAGAWA,深川,深川市一已町一已,-,43,43.1,142,4.4,55,10,1.5,#1977.10.7,-,15910,湿度を除く
71,空知,15197,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,雨竜,ウリュウ,URYU,雨竜町満寿,雨竜郡雨竜町満寿,-,43,39.6,141,53.5,42,-,-,2005.11.1,-,-,-
72,空知,15216,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,新城,シンジョウ,SHINJO,芦別市新城,芦別市新城,-,43,36.7,142,12.2,147,-,-,1984.10.5,-,-,-
73,空知,15231,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,空知吉野,ソラチヨシノ,SORACHIYOSHINO,新十津川町空知吉野,樺戸郡新十津川町吉野,-,43,35.7,141,43.9,100,10,1.5,1978.11.2,-,-,湿度を除く
74,空知,15241,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,滝川,タキカワ,TAKIKAWA,滝川,滝川市南滝の川,-,43,34.2,141,56.3,50,9.9,1.5,#1976.4.1,-,15930,-
75,空知,15247,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,赤平,アカビラ,AKABIRA,赤平,赤平市東豊里町,-,43,33.2,142,4,120,-,-,2005.10.31,-,-,-
76,空知,15251,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,芦別,アシベツ,ASHIBETSU,芦別市北２条,芦別市北2条東,-,43,31.2,142,11.4,91,10,1.5,#1978.10.25,-,15915,湿度を除く
77,空知,15276,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,浦臼,ウラウス,URAUSU,浦臼,樺戸郡浦臼町浦臼内,-,43,25.7,141,48.5,25,-,-,1983.8.2,-,-,-
78,空知,15311,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,月形,ツキガタ,TSUKIGATA,月形,樺戸郡月形町知来乙,-,43,19.8,141,37,50,10,1.5,(1975.5.16)1977.10.6,-,-,湿度を除く
79,空知,15321,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,美唄,ビバイ,BIBAI,美唄,美唄市北美唄町二区,-,43,21.8,141,49.6,16,10,1.5,#1977.10.5,-,15920,湿度を除く
80,空知,15356,47413,官,地上気象観測装置,Y,Y,Y,Y,Y,Y,Y,岩見沢,イワミザワ,IWAMIZAWA,岩見沢市５条,岩見沢市5条東,岩見沢特別地域気象観測所,43,12.7,141,47.1,42,22.1,-,#1975.4.3,-,15923,-
81,空知,15391,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,栗沢,クリサワ,KURISAWA,岩見沢市栗沢,岩見沢市栗沢町東本町,-,43,7.3,141,44.7,20,-,-,1975.6.7,-,-,-
82,空知,15431,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,長沼,ナガヌマ,NAGANUMA,長沼,夕張郡長沼町本町北,-,43,0.7,141,41.6,13,10.1,2.5,#1977.10.5,-,-,-
83,空知,15442,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,夕張,ユウバリ,YUBARI,夕張市鹿の谷,夕張市鹿の谷山手町,-,43,2.3,141,57.4,293,10.1,1.5,#1976.4.1,-,15925,-
84,空知,15451,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,鹿島,カシマ,KASHIMA,夕張市鹿島,夕張市鹿島富士見町,-,43,4.8,142,6,310,-,-,1983.8.2,-,-,-
85,空知,15491,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,沼の沢,ヌマノサワ,NUMANOSAWA,夕張市沼の沢,夕張市沼ノ沢,-,42,57.6,142,1.2,161,-,-,1983.8.2,-,-,-
86,後志,16026,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,美国,ビクニ,BIKUNI,積丹町美国,積丹郡積丹町美国町船澗,-,43,16.3,140,33.8,75,10,1.5,#1977.10.25,-,-,湿度を除く
87,後志,16061,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,神恵内,カモエナイ,KAMOENAI,神恵内,古宇郡神恵内村神恵内村,-,43,8.7,140,25.4,50,9.9,1.5,1977.10.24,-,-,-
88,後志,16076,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,余市,ヨイチ,YOICHI,余市,余市郡余市町豊丘町,-,43,10.9,140,45.5,20,10,1.5,#1977.10.31,-,16905,湿度を除く
89,後志,16091,47411,官,地上気象観測装置,Y,Y,Y,Y,Y,Y,Y,小樽,オタル,OTARU,小樽,小樽市勝納町,小樽特別地域気象観測所,43,10.9,141,0.9,25,13.6,-,#1975.12.23,-,16903,-
90,後志,16126,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,Y,赤井川,アカイガワ,AKAIGAWA,赤井川,余市郡赤井川村赤井川,-,43,5,140,49.2,148,-,-,1976.5.12,-,16900,-
91,後志,16156,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,共和,キョウワ,IWANAI,共和,岩内郡共和町南幌似,-,42,58.8,140,36.2,15,10,1.5,#1977.10.24,-,16910,湿度を除く
92,後志,16206,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,蘭越,ランコシ,RANKOSHI,蘭越,磯谷郡蘭越町蘭越,-,42,48.6,140,32.5,39,8,1.5,#1977.10.20,-,16915,湿度を除く
93,後志,16217,47433,官,地上気象観測装置,Y,Y,Y,Y,Y,Y,Y,倶知安,クッチャン,KUTCHAN,倶知安,虻田郡倶知安町南1条東,倶知安特別地域気象観測所,42,54,140,45.4,176,30.8,-,1991.8.28,-,16917,-
94,後志,16252,47421,官,地上気象観測装置,Y,Y,Y,Y,Y,Y,Y,寿都,スッツ,SUTTSU,寿都,寿都郡寿都町新栄町,寿都特別地域気象観測所,42,47.7,140,13.4,33,17.6,-,1989.9.22,-,16918,-
95,後志,16272,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,ニセコ,ニセコ,NISEKO,ニセコ町宮田,虻田郡ニセコ町宮田,-,42,46.7,140,40,113,-,-,19902.3.11,-,-,-
96,後志,16281,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,真狩,マッカリ,MAKKARI,真狩,虻田郡真狩村美原,-,42,46.5,140,52.8,440,10,3.3,(1975.7.1)1978.10.27,-,-,湿度を除く
97,後志,16286,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,喜茂別,キモベツ,KIMOBETSU,喜茂別,虻田郡喜茂別町伏見,-,42,47.6,140,56.9,264,10,2.9,#1977.10.21,-,16920,湿度を除く
98,後志,16321,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,黒松内,クロマツナイ,KUROMATSUNAI,黒松内,寿都郡黒松内町黒松内,-,42,39.8,140,18.6,27,10,1.5,#1977.10.20,-,16925,湿度を除く
99,ｵﾎｰﾂｸ,17036,47405,官,地上気象観測装置,Y,Y,Y,Y,Y,Y,Y,雄武,オウム,OMU,雄武,紋別郡雄武町雄武,雄武特別地域気象観測所,44,34.8,142,57.8,14,16.6,-,#1975.12.1,-,17903,-
100,ｵﾎｰﾂｸ,17076,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,興部,オコッペ,OKOPPE,興部,紋別郡興部町興部,-,44,28.2,143,6.5,8,9.9,1.5,#1977.10.28,-,-,-
101,ｵﾎｰﾂｸ,17091,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,西興部,ニシオコッペ,NISHI-OKOPPE,西興部,紋別郡西興部村西興部,-,44,19.9,142,56.1,120,8,2.5,(1975.7.1)1977.10.28,-,17900,湿度を除く
102,ｵﾎｰﾂｸ,17112,47435,官,地上気象観測装置,Y,Y,Y,Y,Y,Y,Y,紋別,モンベツ,MOMBETSU,紋別市南が丘町,紋別市南が丘町,紋別特別地域気象観測所,44,20.7,143,21.3,16,13.6,-,1983.1.1,-,17904,-
103,ｵﾎｰﾂｸ,17116,-,官,地上気象観測装置,Y,Y,Y,Y,Y,N,Y,紋別小向,モンベツコムカイ,MOMBETSUKOMUKAI,紋別空港,紋別市小向,紋別航空気象観測所,44,18.2,143,24.2,18,10.4,-,2003.1.1,-,17960,日照・湿度・気圧を除く
104,ｵﾎｰﾂｸ,17166,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,湧別,ユウベツ,YUBETSU,湧別,紋別郡湧別町東,-,44,12.8,143,37.1,5,9.4,2.5,#1977.10.26,-,-,湿度を除く
