観測所番号,観測所名（漢字）,観測所名（カナ）,観測所名（ローマ字）,積雪の観測所名（漢字）,積雪の観測所名（カナ）,積雪の観測所名（ローマ字）,観測地点を代表する緯度,観測地点を代表する経度,観測地点を代表する標高,風向風速計の高さ,予備,予備,積雪の観測地点の緯度,積雪の観測地点の経度,積雪の観測地点の標高,降水量の統計の有無,風の統計の有無,気温の統計の有無,日照時間の統計の有無,積雪の統計の有無,予備,湿度の統計の有無,観測開始年月日,観測終了年月日,旧観測所番号,降水量の統計接続,風の統計接続,気温の統計接続,日照時間の統計接続,積雪の深さの統計接続,予備,湿度の統計接続
11046,礼文,レブン,REBUN,,,,45.305,141.045,65,6.5,,,,,,1,1,1,2,0,,0,2021/3/2,2021/7/4,11046,0,0,0,6,0,,0
11046,礼文,レブン,REBUN,,,,45.305,141.045,65,10,,,,,,1,1,1,2,0,,0,2021/7/5,2021/10/25,11046,0,0,0,0,0,,0
11046,礼文,レブン,REBUN,,,,45.305,141.045,65,9.9,,,,,,1,1,1,2,0,,1,2021/10/26,9999-99-99,11046,0,0,0,0,0,,0
11061,声問,コエトイ,KOETOI,,,,45.403,141.8,8,8,,,,,,1,1,1,0,0,,0,2003/1/1,2006/11/28,11061,1,1,1,1,1,,1
11061,声問,コエトイ,KOETOI,声問,コエトイ,KOETOI,45.403,141.8,8,8,,,45.403,141.8,8,1,1,1,0,1,,0,2006/11/29,2009/1/28,11061,0,0,0,0,0,,0
11061,声問,コエトイ,KOETOI,声問,コエトイ,KOETOI,45.403,141.8,8,8,,,45.403,141.8,8,1,1,1,0,1,,0,2009/1/29,2009/11/18,11061,0,4,4,0,0,,0
11061,声問,コエトイ,KOETOI,声問,コエトイ,KOETOI,45.403,141.802,8,8,,,45.403,141.802,8,1,1,1,0,1,,0,2009/11/19,2017/11/8,11061,0,0,0,0,0,,0
11061,声問,コエトイ,KOETOI,声問,コエトイ,KOETOI,45.403,141.802,8,10,,,45.403,141.802,8,1,1,1,0,1,,0,2017/11/9,9999-99-99,11061,0,0,0,0,0,,0
11076,浜鬼志別,ハマオニシベツ,HAMAONISHIBETSU,,,,45.335,142.17,13,6.5,,,,,,1,1,1,1,0,,0,1978/10/30,1983/9/29,11076,1,1,1,1,1,,1
11076,浜鬼志別,ハマオニシベツ,HAMAONISHIBETSU,浜鬼志別,ハマオニシベツ,HAMAONISHIBETSU,45.335,142.17,13,6.5,,,45.335,142.17,13,1,1,1,1,1,,0,1983/9/30,1987/10/22,11076,0,0,0,0,0,,0
11076,浜鬼志別,ハマオニシベツ,HAMAONISHIBETSU,浜鬼志別,ハマオニシベツ,HAMAONISHIBETSU,45.335,142.17,13,6.5,,,45.335,142.17,13,1,1,1,1,1,,0,1987/10/23,2006/10/12,11076,0,0,0,1,0,,0
11076,浜鬼志別,ハマオニシベツ,HAMAONISHIBETSU,浜鬼志別,ハマオニシベツ,HAMAONISHIBETSU,45.335,142.17,13,6.5,,,45.335,142.17,13,1,1,1,1,1,,0,2006/10/13,2008/9/11,11076,0,0,0,4,0,,0
11076,浜鬼志別,ハマオニシベツ,HAMAONISHIBETSU,浜鬼志別,ハマオニシベツ,HAMAONISHIBETSU,45.335,142.17,13,6.5,,,45.335,142.17,13,1,1,1,1,1,,0,2008/9/12,2021/3/1,11076,0,4,4,0,0,,0
11076,浜鬼志別,ハマオニシベツ,HAMAONISHIBETSU,浜鬼志別,ハマオニシベツ,HAMAONISHIBETSU,45.335,142.17,13,6.5,,,45.335,142.17,13,1,1,1,2,1,,0,2021/3/2,2023/8/8,11076,0,0,0,6,0,,0
11076,浜鬼志別,ハマオニシベツ,HAMAONISHIBETSU,浜鬼志別,ハマオニシベツ,HAMAONISHIBETSU,45.335,142.17,13,10,,,45.335,142.17,13,1,1,1,2,1,,0,2023/8/9,2023/9/18,11076,0,0,0,0,0,,0
11076,浜鬼志別,ハマオニシベツ,HAMAONISHIBETSU,浜鬼志別,ハマオニシベツ,HAMAONISHIBETSU,45.335,142.17,13,9.8,,,45.335,142.17,13,1,1,1,2,1,,1,2023/9/19,9999-99-99,11076,0,0,0,0,0,,0
11091,本泊,モトドマリ,MOTODOMARI,,,,45.242,141.187,30,7.6,,,,,,1,1,1,0,0,,0,2003/1/1,2009/1/28,11091,1,1,1,1,1,,1
11091,本泊,モトドマリ,MOTODOMARI,,,,45.242,141.187,30,7.6,,,,,,1,1,1,0,0,,0,2009/1/29,2017/11/8,11091,0,4,4,0,0,,0
11091,本泊,モトドマリ,MOTODOMARI,,,,45.242,141.187,30,10,,,,,,1,1,1,0,0,,0,2017/11/9,9999-99-99,11091,0,0,0,0,0,,0
11121,沼川,ヌマカワ,NUMAKAWA,,,,45.25,141.857,15,8,,,,,,1,1,1,1,0,,0,1977/10/20,1983/9/29,11121,1,1,1,1,1,,1
11121,沼川,ヌマカワ,NUMAKAWA,沼川,ヌマカワ,NUMAKAWA,45.25,141.857,15,8,,,45.248,141.852,23,1,1,1,1,1,,0,1983/9/30,1990/5/17,11121,0,0,0,0,0,,0
11121,沼川,ヌマカワ,NUMAKAWA,沼川,ヌマカワ,NUMAKAWA,45.25,141.857,15,8,,,45.248,141.852,23,1,1,1,1,1,,0,1990/5/18,1995/10/24,11121,0,0,0,1,0,,0
11121,沼川,ヌマカワ,NUMAKAWA,沼川,ヌマカワ,NUMAKAWA,45.248,141.852,23,8,,,45.248,141.852,23,1,1,1,1,1,,0,1995/10/25,2009/9/14,11121,0,0,0,0,0,,0
11121,沼川,ヌマカワ,NUMAKAWA,沼川,ヌマカワ,NUMAKAWA,45.248,141.852,23,8,,,45.248,141.852,23,1,1,1,1,1,,0,2009/9/15,2020/11/17,11121,0,4,4,4,0,,0
11121,沼川,ヌマカワ,NUMAKAWA,沼川,ヌマカワ,NUMAKAWA,45.248,141.852,23,10,,,45.248,141.852,23,1,1,1,1,1,,0,2020/11/18,2021/3/1,11121,0,0,0,0,0,,0
11121,沼川,ヌマカワ,NUMAKAWA,沼川,ヌマカワ,NUMAKAWA,45.248,141.852,23,10,,,45.248,141.852,23,1,1,1,2,1,,0,2021/3/2,9999-99-99,11121,0,0,0,6,0,,0
11151,沓形,クツガタ,KUTSUGATA,,,,45.178,141.138,14,,,,,,,1,0,0,0,0,,0,1974/11/1,1977/10/23,11151,1,1,1,1,1,,1
11151,沓形,クツガタ,KUTSUGATA,,,,45.178,141.138,14,6.5,,,,,,1,1,1,1,0,,0,1977/10/24,1987/6/9,11151,0,0,0,0,0,,0
11151,沓形,クツガタ,KUTSUGATA,,,,45.178,141.138,14,6.5,,,,,,1,1,1,1,0,,0,1987/6/10,2006/10/2,11151,0,0,0,1,0,,0
11151,沓形,クツガタ,KUTSUGATA,,,,45.178,141.138,14,6.5,,,,,,1,1,1,1,0,,0,2006/10/3,2008/9/16,11151,0,0,0,4,0,,0
11151,沓形,クツガタ,KUTSUGATA,,,,45.178,141.138,14,6.5,,,,,,1,1,1,1,0,,0,2008/9/17,2021/3/1,11151,0,4,4,0,0,,0
11151,沓形,クツガタ,KUTSUGATA,,,,45.178,141.138,14,6.5,,,,,,1,1,1,2,0,,0,2021/3/2,2021/7/5,11151,0,0,0,6,0,,0
11151,沓形,クツガタ,KUTSUGATA,,,,45.178,141.138,14,10,,,,,,1,1,1,2,0,,0,2021/7/6,2021/10/27,11151,0,0,0,0,0,,0
11151,沓形,クツガタ,KUTSUGATA,,,,45.178,141.138,14,9.9,,,,,,1,1,1,2,0,,1,2021/10/28,9999-99-99,11151,0,0,0,0,0,,0
11176,豊富,トヨトミ,TOYOTOMI,,,,45.102,141.778,12,,,,,,,1,0,0,0,0,,0,1975/5/29,1977/10/23,11176,1,1,1,1,1,,1
11176,豊富,トヨトミ,TOYOTOMI,,,,45.102,141.778,12,6.5,,,,,,1,1,1,1,0,,0,1977/10/24,1982/10/14,11176,0,0,0,0,0,,0
11176,豊富,トヨトミ,TOYOTOMI,豊富,トヨトミ,TOYOTOMI,45.102,141.778,12,6.5,,,45.102,141.778,12,1,1,1,1,1,,0,1982/10/15,1989/4/26,11176,0,0,0,0,0,,0
11176,豊富,トヨトミ,TOYOTOMI,豊富,トヨトミ,TOYOTOMI,45.102,141.778,12,6.5,,,45.102,141.778,12,1,1,1,1,1,,0,1989/4/27,2007/12/12,11176,0,0,0,1,0,,0
11176,豊富,トヨトミ,TOYOTOMI,豊富,トヨトミ,TOYOTOMI,45.107,141.765,16,10,,,45.107,141.765,16,1,1,1,1,1,,0,2007/12/13,2008/3/25,11176,0,0,0,4,0,,0
11176,豊富,トヨトミ,TOYOTOMI,豊富,トヨトミ,TOYOTOMI,45.107,141.765,16,10,,,45.107,141.765,16,1,1,1,1,1,,0,2008/3/26,2018/9/26,11176,0,4,4,0,0,,0
11176,豊富,トヨトミ,TOYOTOMI,豊富,トヨトミ,TOYOTOMI,45.102,141.78,14,10,,,45.102,141.78,14,1,1,1,1,1,,0,2018/9/27,2021/3/1,11176,0,0,0,0,0,,0
11176,豊富,トヨトミ,TOYOTOMI,豊富,トヨトミ,TOYOTOMI,45.102,141.78,14,10,,,45.102,141.78,14,1,1,1,2,1,,0,2021/3/2,9999-99-99,11176,0,0,0,6,0,,0
11206,浜頓別,ハマトンベツ,HAMATOMBETSU,,,,45.113,142.362,13,,,,,,,1,0,0,0,0,,0,1974/11/1,1977/10/18,11206,1,1,1,1,1,,1
11206,浜頓別,ハマトンベツ,HAMATOMBETSU,,,,45.113,142.362,13,6.5,,,,,,1,1,1,1,0,,0,1977/10/19,1986/5/21,11206,0,0,0,0,0,,0
11206,浜頓別,ハマトンベツ,HAMATOMBETSU,,,,45.113,142.362,13,6.5,,,,,,1,1,1,1,0,,0,1986/5/22,2004/12/15,11206,0,0,0,1,0,,0
11206,浜頓別,ハマトンベツ,HAMATOMBETSU,,,,45.113,142.362,13,8,,,,,,1,1,1,1,0,,0,2004/12/16,2008/10/27,11206,0,0,0,0,0,,0
11206,浜頓別,ハマトンベツ,HAMATOMBETSU,,,,45.125,142.35,18,10,,,,,,1,1,1,1,0,,0,2008/10/28,2021/3/1,11206,0,4,4,4,0,,0
11206,浜頓別,ハマトンベツ,HAMATOMBETSU,,,,45.125,142.35,18,10,,,,,,1,1,1,2,0,,0,2021/3/2,9999-99-99,11206,0,0,0,6,0,,0
11276,中頓別,ナカトンベツ,NAKATOMBETSU,,,,44.965,142.28,25,,,,,,,1,0,0,0,0,,0,1975/5/28,1977/10/18,11276,1,1,1,1,1,,1
11276,中頓別,ナカトンベツ,NAKATOMBETSU,,,,44.965,142.28,25,8,,,,,,1,1,1,1,0,,0,1977/10/19,1982/10/14,11276,0,0,0,0,0,,0
11276,中頓別,ナカトンベツ,NAKATOMBETSU,中頓別,ナカトンベツ,NAKATOMBETSU,44.965,142.28,25,8,,,44.965,142.28,25,1,1,1,1,1,,0,1982/10/15,1986/6/4,11276,0,0,0,0,0,,0
11276,中頓別,ナカトンベツ,NAKATOMBETSU,中頓別,ナカトンベツ,NAKATOMBETSU,44.965,142.28,25,8,,,44.965,142.28,25,1,1,1,1,1,,0,1986/6/5,2008/10/29,11276,0,0,0,1,0,,0
11276,中頓別,ナカトンベツ,NAKATOMBETSU,中頓別,ナカトンベツ,NAKATOMBETSU,44.965,142.28,25,10.2,,,44.965,142.28,25,1,1,1,1,1,,0,2008/10/30,2021/3/1,11276,0,4,4,4,0,,0
11276,中頓別,ナカトンベツ,NAKATOMBETSU,中頓別,ナカトンベツ,NAKATOMBETSU,44.965,142.28,25,10.2,,,44.965,142.28,25,1,1,1,2,1,,0,2021/3/2,9999-99-99,11276,0,0,0,6,0,,0
11291,北見枝幸,キタミエサシ,KITAMI-ESASHI,,,,44.94,142.585,7,,,,,,,1,0,0,0,0,,0,1974/11/1,1975/12/31,11291,1,1,1,1,1,,1
11291,北見枝幸,キタミエサシ,KITAMI-ESASHI,,,,44.94,142.585,7,10.4,,,,,,1,1,1,1,0,,0,1976/1/1,1987/12/31,11291,0,0,0,0,0,,0
11291,北見枝幸,キタミエサシ,KITAMI-ESASHI,,,,44.94,142.585,7,10.4,,,,,,1,1,1,1,0,,0,1988/1/1,1999/2/28,11291,0,0,0,1,0,,0
11291,北見枝幸,キタミエサシ,KITAMI-ESASHI,北見枝幸,キタミエサシ,KITAMI-ESASHI,44.94,142.585,7,10.4,,,44.94,142.585,7,1,1,1,1,1,,0,1999/3/1,2004/9/30,11291,0,0,0,0,0,,0
11291,北見枝幸,キタミエサシ,KITAMI-ESASHI,北見枝幸,キタミエサシ,KITAMI-ESASHI,44.94,142.585,7,16.9,,,44.94,142.585,7,1,1,1,1,1,,0,2004/10/1,2008/3/25,11291,0,0,0,0,0,,0
11291,北見枝幸,キタミエサシ,KITAMI-ESASHI,北見枝幸,キタミエサシ,KITAMI-ESASHI,44.94,142.585,7,16.9,,,44.94,142.585,7,1,1,1,1,1,,0,2008/3/26,2014/10/8,11291,0,4,4,0,0,,0
11291,北見枝幸,キタミエサシ,KITAMI-ESASHI,北見枝幸,キタミエサシ,KITAMI-ESASHI,44.94,142.585,7,17.2,,,44.94,142.585,7,1,1,1,1,1,,0,2014/10/9,2021/3/1,11291,0,0,0,0,0,,0
11291,北見枝幸,キタミエサシ,KITAMI-ESASHI,北見枝幸,キタミエサシ,KITAMI-ESASHI,44.94,142.585,7,17.2,,,44.94,142.585,7,1,1,1,1,1,,1,2021/3/2,9999-99-99,11291,0,0,0,0,0,,0
11316,歌登,ウタノボリ,UTANOBORI,,,,44.842,142.48,14,,,,,,,1,0,0,0,0,,0,1974/11/1,1977/10/17,11316,1,1,1,1,1,,1
11316,歌登,ウタノボリ,UTANOBORI,,,,44.842,142.48,14,8,,,,,,1,1,1,1,0,,0,1977/10/18,1982/10/14,11316,0,0,0,0,0,,0
11316,歌登,ウタノボリ,UTANOBORI,歌登,ウタノボリ,UTANOBORI,44.842,142.48,14,8,,,44.842,142.48,14,1,1,1,1,1,,0,1982/10/15,1986/6/4,11316,0,0,0,0,0,,0
11316,歌登,ウタノボリ,UTANOBORI,歌登,ウタノボリ,UTANOBORI,44.842,142.48,14,8,,,44.842,142.48,14,1,1,1,1,1,,0,1986/6/5,2009/9/17,11316,0,0,0,1,0,,0
11316,歌登,ウタノボリ,UTANOBORI,歌登,ウタノボリ,UTANOBORI,44.842,142.48,14,10,,,44.842,142.48,14,1,1,1,1,1,,0,2009/9/18,2021/3/1,11316,0,4,4,4,0,,0
11316,歌登,ウタノボリ,UTANOBORI,歌登,ウタノボリ,UTANOBORI,44.842,142.48,14,10,,,44.842,142.48,14,1,1,1,2,1,,0,2021/3/2,9999-99-99,11316,0,0,0,6,0,,0
12011,中川,ナカガワ,NAKAGAWA,,,,44.812,142.065,18,8,,,,,,1,1,1,1,0,,0,1977/10/19,1988/9/19,12011,1,1,1,1,1,,1
12011,中川,ナカガワ,NAKAGAWA,,,,44.828,142.077,22,8,,,,,,1,1,1,1,0,,0,1988/9/20,1990/6/3,12011,0,0,0,0,0,,0
12011,中川,ナカガワ,NAKAGAWA,,,,44.828,142.077,22,8,,,,,,1,1,1,1,0,,0,1990/6/4,2008/10/22,12011,0,0,0,1,0,,0
12011,中川,ナカガワ,NAKAGAWA,,,,44.828,142.077,22,8,,,,,,1,1,1,1,0,,0,2008/10/23,2009/10/25,12011,0,4,4,4,0,,0
12011,中川,ナカガワ,NAKAGAWA,,,,44.828,142.077,22,10,,,,,,1,1,1,1,0,,0,2009/10/26,2021/3/1,12011,0,0,0,0,0,,0
12011,中川,ナカガワ,NAKAGAWA,,,,44.828,142.077,22,10,,,,,,1,1,1,2,0,,0,2021/3/2,9999-99-99,12011,0,0,0,6,0,,0
12041,音威子府,オトイネップ,OTOINEPPU,,,,44.727,142.265,40,6.5,,,,,,1,1,1,1,0,,0,1977/10/17,1982/10/14,12041,1,1,1,1,1,,1
12041,音威子府,オトイネップ,OTOINEPPU,音威子府,オトイネップ,OTOINEPPU,44.727,142.265,40,6.5,,,44.727,142.265,40,1,1,1,1,1,,0,1982/10/15,1986/5/26,12041,0,0,0,0,0,,0
12041,音威子府,オトイネップ,OTOINEPPU,音威子府,オトイネップ,OTOINEPPU,44.727,142.265,40,6.5,,,44.727,142.265,40,1,1,1,1,1,,0,1986/5/27,2006/10/26,12041,0,0,0,1,0,,0
12041,音威子府,オトイネップ,OTOINEPPU,音威子府,オトイネップ,OTOINEPPU,44.727,142.265,40,10,,,44.727,142.265,40,1,1,1,1,1,,0,2006/10/27,2008/9/18,12041,0,0,0,4,0,,0
12041,音威子府,オトイネップ,OTOINEPPU,音威子府,オトイネップ,OTOINEPPU,44.727,142.265,40,10,,,44.727,142.265,40,1,1,1,1,1,,0,2008/9/19,2021/3/1,12041,0,4,4,0,0,,0
12041,音威子府,オトイネップ,OTOINEPPU,音威子府,オトイネップ,OTOINEPPU,44.727,142.265,40,10,,,44.727,142.265,40,1,1,1,2,1,,0,2021/3/2,2023/9/25,12041,0,0,0,6,0,,0
12041,音威子府,オトイネップ,OTOINEPPU,音威子府,オトイネップ,OTOINEPPU,44.727,142.265,40,9.8,,,44.727,142.265,40,1,1,1,2,1,,1,2023/9/26,9999-99-99,12041,0,0,0,0,0,,0
12066,小車,オグルマ,OGURUMA,,,,44.608,142.295,60,,,,,,,1,0,0,0,0,,0,2005/11/9,9999-99-99,12066,1,1,1,1,1,,1
12141,美深,ビフカ,BIFUKA,,,,44.48,142.342,77,,,,,,,1,0,0,0,0,,0,1974/11/1,1977/10/13,12141,1,1,1,1,1,,1
12141,美深,ビフカ,BIFUKA,,,,44.48,142.342,77,6.5,,,,,,1,1,1,1,0,,0,1977/10/14,1983/9/29,12141,0,0,0,0,0,,0
12141,美深,ビフカ,BIFUKA,美深,ビフカ,BIFUKA,44.48,142.342,77,6.5,,,44.48,142.342,77,1,1,1,1,1,,0,1983/9/30,1988/6/1,12141,0,0,0,0,0,,0
12141,美深,ビフカ,BIFUKA,美深,ビフカ,BIFUKA,44.48,142.342,77,6.5,,,44.48,142.342,77,1,1,1,1,1,,0,1988/6/2,2009/9/14,12141,0,0,0,1,0,,0
12141,美深,ビフカ,BIFUKA,美深,ビフカ,BIFUKA,44.48,142.342,77,10,,,44.48,142.342,77,1,1,1,1,1,,0,2009/9/15,2021/3/1,12141,0,4,4,4,0,,0
12141,美深,ビフカ,BIFUKA,美深,ビフカ,BIFUKA,44.48,142.342,77,10,,,44.48,142.342,77,1,1,1,2,1,,0,2021/3/2,9999-99-99,12141,0,0,0,6,0,,0
12151,ピヤシリ山,ピヤシリヤマ,PIYASHIRIYAMA,,,,44.435,142.582,980,,,,,,,1,0,0,0,0,,0,1974/11/1,2005/11/9,12151,1,1,1,1,1,,1
12181,名寄,ナヨロ,NAYORO,,,,44.37,142.457,89,,,,,,,1,0,0,0,0,,0,1974/11/1,1976/3/31,12181,1,1,1,1,1,,1
12181,名寄,ナヨロ,NAYORO,,,,44.37,142.457,89,11,,,,,,1,1,1,1,0,,0,1976/4/1,1979/10/30,12181,0,0,0,0,0,,0
12181,名寄,ナヨロ,NAYORO,名寄,ナヨロ,NAYORO,44.37,142.457,89,11,,,44.37,142.457,89,1,1,1,1,1,,0,1979/10/31,1989/11/7,12181,0,0,0,0,0,,0
12181,名寄,ナヨロ,NAYORO,名寄,ナヨロ,NAYORO,44.37,142.457,89,11,,,44.37,142.457,89,1,1,1,1,1,,0,1989/11/8,2005/11/3,12181,0,0,0,1,0,,0
12181,名寄,ナヨロ,NAYORO,名寄,ナヨロ,NAYORO,44.37,142.457,89,8,,,44.37,142.457,89,1,1,1,1,1,,0,2005/11/4,2008/9/29,12181,0,0,0,4,0,,0
12181,名寄,ナヨロ,NAYORO,名寄,ナヨロ,NAYORO,44.37,142.457,89,8,,,44.37,142.457,89,1,1,1,1,1,,0,2008/9/30,2021/3/1,12181,0,4,4,0,0,,0
12181,名寄,ナヨロ,NAYORO,名寄,ナヨロ,NAYORO,44.37,142.457,89,8,,,44.37,142.457,89,1,1,1,2,1,,0,2021/3/2,2021/6/22,12181,0,0,0,6,0,,0
12181,名寄,ナヨロ,NAYORO,名寄,ナヨロ,NAYORO,44.37,142.457,89,10,,,44.37,142.457,89,1,1,1,2,1,,0,2021/6/23,2021/9/15,12181,0,0,0,0,0,,0
12181,名寄,ナヨロ,NAYORO,名寄,ナヨロ,NAYORO,44.37,142.457,89,9.9,,,44.37,142.457,89,1,1,1,2,1,,1,2021/9/16,9999-99-99,12181,0,0,0,0,0,,0
12216,雨竜,ウリュウ,URYU,,,,44.268,142.298,360,,,,,,,1,0,0,0,0,,0,1974/11/1,1998/3/30,12216,1,1,1,1,1,,1
12216,雨竜,ウリュウ,URYU,,,,44.285,142.298,360,,,,,,,1,0,0,0,0,,0,1998/3/31,2000/11/30,12216,0,0,0,0,0,,0
12216,西風連,ニシフウレン,NISHIFUREN,,,,44.285,142.298,360,,,,,,,1,0,0,0,0,,0,2000/12/1,2005/11/8,12216,0,0,0,0,0,,0
12217,西風連,ニシフウレン,NISHIFUREN,,,,44.295,142.358,128,,,,,,,1,0,0,0,0,,0,2005/11/8,9999-99-99,12217,1,1,1,1,1,,1
12231,下川,シモカワ,SHIMOKAWA,,,,44.302,142.623,140,,,,,,,1,0,0,0,0,,0,1974/11/1,1977/10/13,12231,1,1,1,1,1,,1
12231,下川,シモカワ,SHIMOKAWA,,,,44.302,142.623,140,6.5,,,,,,1,1,1,1,0,,0,1977/10/14,1983/9/29,12231,0,0,0,0,0,,0
12231,下川,シモカワ,SHIMOKAWA,下川,シモカワ,SHIMOKAWA,44.302,142.623,140,6.5,,,44.302,142.623,140,1,1,1,1,1,,0,1983/9/30,1987/6/8,12231,0,0,0,0,0,,0
12231,下川,シモカワ,SHIMOKAWA,下川,シモカワ,SHIMOKAWA,44.302,142.623,140,6.5,,,44.302,142.623,140,1,1,1,1,1,,0,1987/6/9,2009/9/17,12231,0,0,0,1,0,,0
12231,下川,シモカワ,SHIMOKAWA,下川,シモカワ,SHIMOKAWA,44.302,142.623,140,10,,,44.302,142.623,140,1,1,1,1,1,,0,2009/9/18,2017/11/6,12231,0,4,4,4,0,,0
12231,下川,シモカワ,SHIMOKAWA,下川,シモカワ,SHIMOKAWA,44.295,142.637,143,10,,,44.295,142.637,143,1,1,1,1,1,,0,2017/11/7,2021/3/1,12231,0,0,0,0,0,,0
