#,Prefectural Development Bureau,AMeDAS station number,"Surface station station number (in the data,  it has 47 at the beginning)",Type,Type of Observation Instrument,Observation_Precipitation,Observation_Temperature,Observation_wind_direction,Wind Speed,Relative humidity,Sunshine hours (ES is estimated from meteorological satellite data),Observation_Depth of snowfall,Station name_Roman alphabet,Latitude (degree),Latitude (minutes),Longitude(degree),Longitude (minutes),Height above sea level (m),Height of anemometer (m),Height of thermometer (m),Observation start date,Observation end date,Remark 1,Remark 2
39,KAMIKAWA,12632,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,ROKUGO,43,18.1,142,31.3,315,10,2.3,1978.10.25,-,-,湿度を除く
40,KAMIKAWA,12686,-,R,Wired Robot Rain Gauge,Y,N,N,N,N,N,N,KANAYAMA,43,8.3,142,25,284,-,-,2005.11.17,-,-,-
41,KAMIKAWA,12691,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,IKUTORA,43,10.1,142,34.1,350,9.9,1.5,1977.10.7,-,12945,-
42,KAMIKAWA,12746,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,SHIMUKAPPU,42,58.7,142,23.7,332,10,1.5,1977.10.7,-,12950,湿度を除く
43,KAMIKAWA,15041,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,SHUMARINAI,44,16.9,142,9.7,255,10,1.5,1978.10.24,-,15900,湿度を除く
44,KAMIKAWA,15076,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,HOROKANAI,44,0.6,142,9.6,159,9.4,1.5,(1975.5.28)1977.10.28,-,15905,湿度を除く
45,RUMOI,13061,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,TESHIO,44,53.6,141,45.7,9,10,1.5,#1977.10.26,-,13900,湿度を除く
46,RUMOI,13086,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,EMBETSU,44,43.1,141,48.4,7,10,1.5,#1977.10.26,-,-,湿度を除く
47,RUMOI,13121,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,SHOSAMBETSU,44,31.4,141,46.2,27,10,1.5,1977.10.28,-,13905,湿度を除く
48,RUMOI,13146,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,YAGISHIRI,44,25.7,141,25.3,38,8,1.5,1977.10.27,-,-,湿度を除く
49,RUMOI,13181,47404,M,Ground Weather Observation Equipment,Y,Y,Y,Y,Y,Y,Y,HABORO,44,21.8,141,42,8,21.6,-,#1976.1.1,-,13907,-
50,RUMOI,13206,-,R,Wired Robot Rain Gauge,Y,N,N,N,N,N,Y,KOTAMBETSU,44,15.9,141,43.3,15,-,-,1976.8.4,-,13910,-
51,RUMOI,13261,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,TAPPU,44,2.9,141,51.4,30,10,3.4,1977.10.31,-,-,湿度を除く
52,RUMOI,13277,47406,M,Ground Weather Observation Equipment,Y,Y,Y,Y,Y,Y,Y,RUMOI,43,56.7,141,37.9,24,16.3,-,1980.6.21,-,13915,-
53,RUMOI,13311,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,MASHIKE,43,50.9,141,30.6,20,9.4,1.5,#1978.10.24,-,-,湿度を除く
54,RUMOI,13321,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,HORONUKA,43,51.2,141,45.6,20,10,1.5,1977.10.31,-,13920,湿度を除く
55,ISHIKARI,14026,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,HAMAMASU,43,34.9,141,23.2,3,10,1.5,1977.10.12,-,-,湿度を除く
56,ISHIKARI,14071,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,ATSUTA,43,23.8,141,26.2,5,10,1.5,1977.10.12,-,14900,湿度を除く
57,ISHIKARI,14101,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,SHINSHINOTSU,43,13.2,141,38.7,9,10,1.5,#1978.10.23,-,14910,湿度を除く
58,ISHIKARI,14116,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,YAMAGUCHI,43,8.9,141,13.3,5,10,1.5,#1977.10.11,-,-,湿度を除く
59,ISHIKARI,14121,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,ISHIKARI,43,11.6,141,22.2,5,10.1,1.5,1990.3.6,-,14905,-
60,ISHIKARI,14136,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,EBETSU,43,6.6,141,36.1,8,8,1.5,2000.10.31,-,-,湿度を除く
61,ISHIKARI,14157,-,R,Wired Robot Rain Gauge,Y,N,N,N,N,N,N,TEINEYAMA,43,5,141,12.1,568,-,-,19902.3.24,-,-,-
62,ISHIKARI,14163,47412,M,Ground Weather Observation Equipment,Y,Y,N,N,Y,Y,Y,SAPPORO,43,3.6,141,19.7,17,-,-,2001.9.26,-,14913,気温、雨、日照
63,ISHIKARI,14163,47412,M,Ground Weather Observation Equipment,N,N,Y,Y,N,Y,Y,SAPPORO,43,3.6,141,19.6,17,59.7,-,2001.9.26,-,-,風
64,ISHIKARI,14191,-,R,Wired Robot Rain Gauge,Y,N,N,N,N,N,Y,KOGANEYU,42,57.8,141,13,230,-,-,#,-,14915,-
65,ISHIKARI,14206,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,ENIWASHIMAMATSU,42,55.6,141,33.9,30,10,1.5,#1977.10.13,-,14920,湿度を除く
66,ISHIKARI,14286,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,SHIKOTSUKOHAN,42,46.3,141,24.4,290,10,1.5,#1977.10.14,-,-,湿度を除く
67,ISHIKARI,14296,-,M,Ground Weather Observation Equipment,Y,Y,Y,Y,Y,N,Y,CHITOSE,42,46.5,141,41.5,22,10,-,2003.1.1,-,14923,日照・湿度・気圧を除く
68,SORACHI,15116,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,ISHIKARINUMATA,43,48.9,141,55.6,63,10,1.5,#1976.4.1,-,15935,湿度を除く
69,SORACHI,15156,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,CHIPPUBETSU,43,46.8,141,57.7,51,7.9,1.5,2022.10.31,-,15940,-
70,SORACHI,15161,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,FUKAGAWA,43,43.1,142,4.4,55,10,1.5,#1977.10.7,-,15910,湿度を除く
71,SORACHI,15197,-,R,Wired Robot Rain Gauge,Y,N,N,N,N,N,N,URYU,43,39.6,141,53.5,42,-,-,2005.11.1,-,-,-
72,SORACHI,15216,-,R,Wired Robot Rain Gauge,Y,N,N,N,N,N,N,SHINJO,43,36.7,142,12.2,147,-,-,1984.10.5,-,-,-
73,SORACHI,15231,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,SORACHIYOSHINO,43,35.7,141,43.9,100,10,1.5,1978.11.2,-,-,湿度を除く
74,SORACHI,15241,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,TAKIKAWA,43,34.2,141,56.3,50,9.9,1.5,#1976.4.1,-,15930,-
75,SORACHI,15247,-,R,Wired Robot Rain Gauge,Y,N,N,N,N,N,N,AKABIRA,43,33.2,142,4,120,-,-,2005.10.31,-,-,-
76,SORACHI,15251,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,ASHIBETSU,43,31.2,142,11.4,91,10,1.5,#1978.10.25,-,15915,湿度を除く
77,SORACHI,15276,-,R,Wired Robot Rain Gauge,Y,N,N,N,N,N,N,URAUSU,43,25.7,141,48.5,25,-,-,1983.8.2,-,-,-
78,SORACHI,15311,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,TSUKIGATA,43,19.8,141,37,50,10,1.5,(1975.5.16)1977.10.6,-,-,湿度を除く
79,SORACHI,15321,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,BIBAI,43,21.8,141,49.6,16,10,1.5,#1977.10.5,-,15920,湿度を除く
80,SORACHI,15356,47413,M,Ground Weather Observation Equipment,Y,Y,Y,Y,Y,Y,Y,IWAMIZAWA,43,12.7,141,47.1,42,22.1,-,#1975.4.3,-,15923,-
81,SORACHI,15391,-,R,Wired Robot Rain Gauge,Y,N,N,N,N,N,N,KURISAWA,43,7.3,141,44.7,20,-,-,1975.6.7,-,-,-
82,SORACHI,15431,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,NAGANUMA,43,0.7,141,41.6,13,10.1,2.5,#1977.10.5,-,-,-
83,SORACHI,15442,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,YUBARI,43,2.3,141,57.4,293,10.1,1.5,#1976.4.1,-,15925,-
84,SORACHI,15451,-,R,Wired Robot Rain Gauge,Y,N,N,N,N,N,N,KASHIMA,43,4.8,142,6,310,-,-,1983.8.2,-,-,-
85,SORACHI,15491,-,R,Wired Robot Rain Gauge,Y,N,N,N,N,N,N,NUMANOSAWA,42,57.6,142,1.2,161,-,-,1983.8.2,-,-,-
86,SHIRIBESHI,16026,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,BIKUNI,43,16.3,140,33.8,75,10,1.5,#1977.10.25,-,-,湿度を除く
87,SHIRIBESHI,16061,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,KAMOENAI,43,8.7,140,25.4,50,9.9,1.5,1977.10.24,-,-,-
88,SHIRIBESHI,16076,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,YOICHI,43,10.9,140,45.5,20,10,1.5,#1977.10.31,-,16905,湿度を除く
89,SHIRIBESHI,16091,47411,M,Ground Weather Observation Equipment,Y,Y,Y,Y,Y,Y,Y,OTARU,43,10.9,141,0.9,25,13.6,-,#1975.12.23,-,16903,-
90,SHIRIBESHI,16126,-,R,Wired Robot Rain Gauge,Y,N,N,N,N,N,Y,AKAIGAWA,43,5,140,49.2,148,-,-,1976.5.12,-,16900,-
91,SHIRIBESHI,16156,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,IWANAI,42,58.8,140,36.2,15,10,1.5,#1977.10.24,-,16910,湿度を除く
92,SHIRIBESHI,16206,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,RANKOSHI,42,48.6,140,32.5,39,8,1.5,#1977.10.20,-,16915,湿度を除く
93,SHIRIBESHI,16217,47433,M,Ground Weather Observation Equipment,Y,Y,Y,Y,Y,Y,Y,KUTCHAN,42,54,140,45.4,176,30.8,-,1991.8.28,-,16917,-
94,SHIRIBESHI,16252,47421,M,Ground Weather Observation Equipment,Y,Y,Y,Y,Y,Y,Y,SUTTSU,42,47.7,140,13.4,33,17.6,-,1989.9.22,-,16918,-
95,SHIRIBESHI,16272,-,R,Wired Robot Rain Gauge,Y,N,N,N,N,N,N,NISEKO,42,46.7,140,40,113,-,-,19902.3.11,-,-,-
96,SHIRIBESHI,16281,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,MAKKARI,42,46.5,140,52.8,440,10,3.3,(1975.7.1)1978.10.27,-,-,湿度を除く
97,SHIRIBESHI,16286,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,KIMOBETSU,42,47.6,140,56.9,264,10,2.9,#1977.10.21,-,16920,湿度を除く
98,SHIRIBESHI,16321,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,KUROMATSUNAI,42,39.8,140,18.6,27,10,1.5,#1977.10.20,-,16925,湿度を除く
99,OKHOTSK,17036,47405,M,Ground Weather Observation Equipment,Y,Y,Y,Y,Y,Y,Y,OMU,44,34.8,142,57.8,14,16.6,-,#1975.12.1,-,17903,-
100,OKHOTSK,17076,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,OKOPPE,44,28.2,143,6.5,8,9.9,1.5,#1977.10.28,-,-,-
101,OKHOTSK,17091,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,NISHI-OKOPPE,44,19.9,142,56.1,120,8,2.5,(1975.7.1)1977.10.28,-,17900,湿度を除く
102,OKHOTSK,17112,47435,M,Ground Weather Observation Equipment,Y,Y,Y,Y,Y,Y,Y,MOMBETSU,44,20.7,143,21.3,16,13.6,-,1983.1.1,-,17904,-
103,OKHOTSK,17116,-,M,Ground Weather Observation Equipment,Y,Y,Y,Y,Y,N,Y,MOMBETSUKOMUKAI,44,18.2,143,24.2,18,10.4,-,2003.1.1,-,17960,日照・湿度・気圧を除く
104,OKHOTSK,17166,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,YUBETSU,44,12.8,143,37.1,5,9.4,2.5,#1977.10.26,-,-,湿度を除く
105,OKHOTSK,17196,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,TAKINOUE,44,10.6,143,3.7,165,10,2.5,#1977.10.27,-,17905,湿度を除く
106,OKHOTSK,17211,-,R,Wired Robot Rain Gauge,Y,N,N,N,N,N,N,KAMIMOBETSU,44,11.2,143,20.1,94,-,-,#,-,-,-
107,OKHOTSK,17246,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,TOKORO,44,6.9,144,2.2,3,10,2.5,#1977.10.21,-,-,湿度を除く
108,OKHOTSK,17306,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,ENGARU,44,3.2,143,32.4,80,10,2.5,#1977.10.24,-,17910,湿度を除く
109,OKHOTSK,17316,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,SAROMA,44,1.1,143,45.6,54,10,2.5,#1977.10.21,-,17915,湿度を除く
110,OKHOTSK,17341,47409,M,Ground Weather Observation Equipment,Y,Y,Y,Y,Y,Y,Y,ABASHIRI,44,1,144,16.7,38,20,-,#1975.4.1,-,17917,-
111,OKHOTSK,17351,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,UTORO,44,3.1,144,58.9,144,10,2.5,(1975.5.12)1978.10.26,-,17935,湿度を除く
112,OKHOTSK,17386,-,R,Wired Robot Rain Gauge,Y,N,N,N,N,N,N,MARUSEPPU,43,57.1,143,19.7,242,-,-,1984.10.5,-,-,-
113,OKHOTSK,17482,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,SHIRATAKI,43,51.9,143,9.2,475,10,2.5,(1975.9.25)1993.1.27,-,17955,湿度を除く
114,OKHOTSK,17501,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,IKUTAHARA,43,55,143,31.9,199,10,2.5,#1977.10.25,-,-,湿度を除く
115,OKHOTSK,17512,-,R,Wired Robot Rain Gauge,Y,N,N,N,N,N,N,NIKOROYAMA,43,51.6,143,44.8,261,-,-,2005.11.2,-,-,-
116,OKHOTSK,17521,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,KITAMI,43,46.6,143,50.5,104,10.1,2.5,#1976.4.1,-,17925,-
117,OKHOTSK,17531,-,M,Ground Weather Observation Equipment,Y,Y,Y,Y,Y,N,Y,MEMAMBETSU,43,52.8,144,9.8,33,10,-,2003.1.1,-,17965,日照・湿度・気圧を除く
118,OKHOTSK,17541,-,R,Wired Robot Rain Gauge,Y,N,N,N,N,N,N,HIGASHIMOKOTO,43,50.4,144,17.1,58,-,-,1978.7.11,-,-,-
119,OKHOTSK,17546,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,KOSHIMIZU,43,50.5,144,29.1,52,10,1.5,#1977.10.19,-,-,湿度を除く
120,OKHOTSK,17561,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,SHARI,43,53.1,144,42,15,10,2.5,#1977.10.19,-,17940,湿度を除く
121,OKHOTSK,17596,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,RUBESHIBE,43,44.5,143,27,325,10,2.5,#1978.11.1,-,17930,湿度を除く
122,OKHOTSK,17607,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,SAKAINO,43,42.4,143,38.6,184,10,2.5,1977.10.25,-,-,湿度を除く
123,OKHOTSK,17631,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,BIHORO,43,46.2,144,10.3,60,10.1,1.5,#1977.10.20,-,-,湿度を除く
124,OKHOTSK,17642,-,R,Wired Robot Rain Gauge,Y,N,N,N,N,N,N,YAMAZONO,43,44.6,144,20.2,361,-,-,19902.3.18,-,-,-
125,OKHOTSK,17686,-,R,Wired Robot Rain Gauge,Y,N,N,N,N,N,N,OKETOTSUNEMOTO,43,37.2,143,26.4,368,-,-,2005.11.8,-,-,-
126,OKHOTSK,17717,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,TSUBETSU,43,42.1,144,2,100,10,2.5,1988.10.4,-,17950,湿度を除く
127,OKHOTSK,17776,-,R,Wired Robot Rain Gauge,Y,N,N,N,N,N,N,TSUBETSUFUTAMATA,43,35,143,51.9,210,-,-,2005.11.4,-,-,-
128,NEMURO,18038,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,RAUSU,44,1.4,145,11.2,15,9.9,1.5,2005.11.1,-,18925,-
129,NEMURO,18091,-,R,Wired Robot Rain Gauge,Y,N,N,N,N,N,N,ITOKUSHIBETSU,43,43.3,144,59.3,115,-,-,1978.7.28,-,-,-
130,NEMURO,18136,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,SHIBETSU,43,39.7,145,7.9,3,10,1.5,#1977.10.18,-,-,湿度を除く
131,NEMURO,18161,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,KAMISHIBETSU,43,31.2,144,44.8,160,6.5,2.2,2003.10.16,-,-,湿度を除く
132,NEMURO,18171,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,NAKASHIBETSU,43,32.6,144,58.7,50,10.1,1.5,#1977.10.18,-,18910,-
133,NEMURO,18174,-,M,Ground Weather Observation Equipment,Y,Y,Y,Y,Y,N,Y,NEMURO-NAKASHIBETSU,43,34.6,144,57.6,65,10,-,2003.1.1,-,18930,日照・湿度・気圧を除く
134,NEMURO,18256,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,BETSUKAI,43,22.9,145,7.1,23,10,2.2,#1977.10.14,-,18915,湿度を除く
135,NEMURO,18273,47420,M,Ground Weather Observation Equipment,Y,Y,Y,Y,Y,Y,Y,NEMURO,43,19.8,145,35.1,25,29.2,-,1993.8.26,-,18917,-
136,NEMURO,18281,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,NOSAPPU,43,23.6,145,45.5,12,10,1.5,(1975.5.29)1977.10.13,-,-,湿度を除く
137,NEMURO,18311,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,ATTOKO,43,13.3,145,13.6,41,10,1.5,1977.10.14,-,18920,湿度を除く
138,KUSHIRO,19021,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,KAWAYU,43,37,144,27.4,158,9.5,1.5,#1977.10.6,-,19900,湿度を除く
139,KUSHIRO,19051,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,TESHIKAGA,43,30.6,144,28,170,10,1.5,1977.10.6,-,-,湿度を除く
140,KUSHIRO,19076,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,AKANKOHAN,43,26.2,144,5,426,9.9,1.5,#1977.10.7,-,19910,湿度を除く
141,KUSHIRO,19151,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,SHIBECHA,43,17.5,144,35.2,20,10,1.5,#1977.10.11,-,19915,湿度を除く
142,KUSHIRO,19191,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,TSURUI,43,13.9,144,19.5,38,6.5,1.5,1977.10.5,-,19920,湿度を除く
