地上気象観測1分値ファイル（2008年6月25日以降）フォーマット
	
収録内容, 地上1分値データを1日1地点1ファイルごとに収録
ファイル名, sfc_1min_YYYYMMDD.SSSSS YYYY：西暦年、MM：月、DD:日、SSSSS：国際地点番号
レコード仕様, 記録形式：バイナリ形式（バイトオーダー：リトルエンディアン）
, ソート順序：観測時刻順
, ファイルサイズ：255バイト×60×24（367200バイト）
注意, データを取得できなかった時には、初期値が格納されている。（バイト数1バイト：127、2バイト：32767、4バイト：2147483647）
, 障害情報識別符は、当面、未作成0x7F(127)を格納

観測項目名,バイト数,開始バイト
地点情報,50,1
雨,35,51
風,61,86
気温,19,147
日照,11,166
日射量,13,177
積雪,7,190
気圧,21,197
湿度,25,218
視程,13,243

通し番号,観測項目名,詳細項目,単位,バイト数,開始バイト,備考
70,気温,利用フラグ,,1,152,
71,気温,予備,,1,153,
72,気温,最高気温（前1分間）,0.1℃,4,154,
73,気温,利用フラグ,,1,158,
74,気温,予備,,1,159,
75,気温,最低気温(前1分間）,0.1℃,4,160,
76,気温,利用フラグ,,1,164,
77,気温,予備,,1,165,
78,日照,障害状況識別符,,1,166,
79,日照,日照積算カウンタ,,4,167,
80,日照,日照時間,1s,4,171,
81,日照,利用フラグ,,1,175,
82,日照,予備,,1,176,
83,日射量,障害状況識別符,,1,177,
84,日射量,直達日射量,0.01KJ/m2,4,178,
85,日射量,利用フラグ,,1,182,
86,日射量,予備,,1,183,
87,日射量,全天日射量,0.01KJ/m2,4,184,
88,日射量,利用フラグ,,1,188,
89,日射量,予備,,1,189,
90,積雪,障害状況識別符,,1,190,
91,積雪,積雪の深さ,1cm,4,191,
92,積雪,利用フラグ,,1,195,
93,積雪,予備,,1,196,
94,気圧,障害状況識別符,,1,197,
95,気圧,重力加速度,0.0001m/s2,2,198,重力加速度は、-90000を加算する
96,気圧,現地気圧,0.1hPa,4,200,
97,気圧,利用フラグ,,1,204,
98,気圧,予備,,1,205,
99,気圧,海面気圧,0.1hPa,4,206,
100,気圧,利用フラグ,,1,210,
101,気圧,予備,,1,211,
102,気圧,最低海面気圧,0.1hPa,4,212,
103,気圧,利用フラグ,,1,216,
104,気圧,予備,,1,217,
105,湿度,障害状況識別符,,1,218,
106,湿度,相対湿度,%,4,219,
107,湿度,利用フラグ,,1,223,
108,湿度,予備,,1,224,
109,湿度,最小相対湿度,%,4,225,
110,湿度,利用フラグ,,1,229,
111,湿度,予備,,1,230,
112,湿度,蒸気圧,0.1hPa,4,231,
113,湿度,利用フラグ,,1,235,
114,湿度,予備,,1,236,
115,湿度,露点温度,0.1℃,4,237,
116,湿度,利用フラグ,,1,241,
117,湿度,予備,,1,242,
118,視程,障害状況識別符,,1,243,
119,視程,視程,0.001km,4,244,
120,視程,利用フラグ,,1,248,
121,視程,予備,,1,249,
122,視程,15分現在天気,,4,250,
123,視程,利用フラグ,,1,254,
124,視程,予備,,1,255,
