地点番号 観測点の種類（※1） 観測要素_気温 観測要素_降水量 観測要素_風向 観測要素_風速 観測要素_日照時間(※2) 観測要素_積雪深 観測要素_湿度 観測要素_気圧 緯度（[度, 分]） 経度（[度, 分]） 標高（m） 観測所名_漢字 観測所名_カタカタ 観測所名_アルファベット
	※1：Aは管区気象台・地方気象台・沖縄気象台、Bは測候所・特別地域気象観測所（元測候所）、Cは通常のアメダス、Dは父島気象観測所、Eは南鳥島気象観測所、Fは富士山特別気象観測所
	※2：Yevは、観測ではなく推計気象分布に基づく推定値で、2021年3月2日から気象官署・特別地域気象観測所を除く地域気象観測所において提供
11001, C, Y, Y, Y, Y, Yev, N, Y, N, [45,31.2], [141,56.1], 26, 宗谷岬, ソウヤミサキ, Cape Soya
11316, C, Y, Y, Y, Y, Yev, Y, N, N, [44,50.5], [142,28.8], 14, 歌登, ウタノボリ, Utanobori
12011, C, Y, Y, Y, Y, Yev, N, N, N, [44,49.7], [142,4.6], 22, 中川, ナカガワ, Nakagawa
12041, C, Y, Y, Y, Y, Yev, Y, N, N, [44,43.6], [142,15.9], 40, 音威子府, オトイネップ, Otoineppu
12066, C, N, Y, N, N, N, N, N, N, [44,36.5], [142,17.7], 60, 小車, オグルマ, Oguruma
12141, C, Y, Y, Y, Y, Yev, Y, N, N, [44,28.8], [142,20.5], 77, 美深, ビフカ, Bifuka
12181, C, Y, Y, Y, Y, Yev, Y, Y, N, [44,22.2], [142,27.4], 89, 名寄, ナヨロ, Nayoro
12217, C, N, Y, N, N, N, N, N, N, [44,17.7], [142,21.5], 128, 西風連, ニシフウレン, Nishi-Furen
12231, C, Y, Y, Y, Y, Yev, Y, N, N, [44,17.7], [142,38.2], 143, 下川, シモカワ, Shimokawa
12256, C, N, Y, N, N, N, N, N, N, [44,6.4], [142,21.2], 138, 剣淵, ケンブチ, Kenbuchi
12261, C, Y, Y, Y, Y, Yev, N, N, N, [44,11.2], [142,25.0], 135, 士別, シベツ, Shibetsu
12266, C, Y, Y, Y, Y, Yev, N, N, N, [44,7.1], [142,35.7], 225, 朝日, アサヒ, Asahi
12301, C, Y, Y, Y, Y, Yev, Y, N, N, [44,1.7], [142,24.6], 150, 和寒, ワッサム, Wassamu
12386, C, Y, Y, Y, Y, Yev, N, N, N, [43,52.2], [142,15.6], 140, 江丹別, エタンベツ, Etanbetsu
12396, C, Y, Y, Y, Y, Yev, N, N, N, [43,52.2], [142,28.2], 164, 比布, ピップ, Pippu
12411, C, Y, Y, Y, Y, Yev, Y, N, N, [43,50.8], [142,45.2], 324, 上川, カミカワ, Kamikawa
12442, A, Y, Y, Y, Y, Y, Y, Y, Y, [43,45.4], [142,22.3], 120, 旭川, アサヒカワ, Asahikawa
12451, C, Y, Y, Y, Y, Yev, N, N, N, [43,42.1], [142,30.5], 215, 東川, ヒガシカワ, Higashikawa
12457, C, N, Y, N, N, N, N, N, N, [43,44.2], [142,38.3], 289, 瑞穂, ミズホ, Mizuho
12471, C, N, Y, N, N, N, Y, N, N, [43,45.2], [142,55.8], 540, 層雲峡, ソウウンキョウ, Sounkyo
12501, C, Y, Y, Y, Y, N, Y, N, N, [43,40.2], [142,26.8], 211, 東神楽, ヒガシカグラ：旭川空港, Higashi-Kagura
12512, C, Y, Y, Y, Y, Yev, N, N, N, [43,38.6], [142,34.9], 310, 志比内, シビナイ, Shibinai
12551, C, Y, Y, Y, Y, Yev, Y, N, N, [43,35.3], [142,29.6], 250, 美瑛, ビエイ, Biei
12596, C, Y, Y, Y, Y, Yev, N, N, N, [43,27.3], [142,27.9], 220, 上富良野, カミフラノ, Kami-Furano
12607, C, N, Y, N, N, N, N, N, N, [43,28.5], [142,39.0], 658, 白金, シロガネ, Shirogane
12626, C, Y, Y, Y, Y, Yev, Y, Y, N, [43,20.0], [142,24.0], 174, 富良野, フラノ, Furano
12632, C, Y, Y, Y, Y, Yev, N, N, N, [43,18.1], [142,31.3], 315, 麓郷, ロクゴウ, Rokugo
12686, C, N, Y, N, N, N, N, N, N, [43,8.3], [142,25.0], 284, 金山, カナヤマ, Kanayama
12691, C, Y, Y, Y, Y, Yev, Y, Y, N, [43,10.1], [142,34.1], 350, 幾寅, イクトラ, Ikutora
12746, C, Y, Y, Y, Y, Yev, Y, N, N, [42,58.7], [142,23.7], 332, 占冠, シムカップ, Shimukappu
13011, C, N, Y, N, N, N, N, N, N, [45,0.4], [141,51.1], 5, 幌延, ホロノベ, Horonobe
13061, C, Y, Y, Y, Y, Yev, Y, N, N, [44,53.6], [141,45.7], 9, 天塩, テシオ, Teshio
13086, C, Y, Y, Y, Y, Yev, N, N, N, [44,43.1], [141,48.4], 7, 遠別, エンベツ, Enbetsu
13121, C, Y, Y, Y, Y, Yev, Y, N, N, [44,31.4], [141,46.2], 27, 初山別, ショサンベツ, Shosanbetsu
13146, C, Y, Y, Y, Y, Yev, N, N, N, [44,25.7], [141,25.3], 38, 焼尻, ヤギシリ, Yagishiri
13181, B, Y, Y, Y, Y, Y, Y, Y, Y, [44,21.8], [141,42.0], 8, 羽幌, ハボロ, Haboro
13206, C, N, Y, N, N, N, Y, N, N, [44,15.9], [141,43.3], 15, 古丹別, コタンベツ, Kotanbetsu
13261, C, Y, Y, Y, Y, Yev, N, N, N, [44,2.9], [141,51.4], 30, 達布, タップ, Tappu
13277, B, Y, Y, Y, Y, Y, Y, Y, Y, [43,56.7], [141,37.9], 24, 留萌, ルモイ, Rumoi
13311, C, Y, Y, Y, Y, Yev, N, N, N, [43,50.9], [141,30.6], 20, 増毛, マシケ, Mashike
13321, C, Y, Y, Y, Y, Yev, Y, N, N, [43,51.2], [141,45.6], 20, 幌糠, ホロヌカ, Horonuka
14026, C, Y, Y, Y, Y, Yev, N, N, N, [43,34.9], [141,23.2], 3, 浜益, ハママス, Hamamasu
14071, C, Y, Y, Y, Y, Yev, Y, N, N, [43,23.8], [141,26.2], 5, 厚田, アツタ, Atsuta
14101, C, Y, Y, Y, Y, Yev, Y, N, N, [43,13.2], [141,38.7], 9, 新篠津, シンシノツ, Shinshinotsu
14116, C, Y, Y, Y, Y, Yev, N, N, N, [43,8.9], [141,13.3], 5, 山口, ヤマグチ, Yamaguchi
14121, C, Y, Y, Y, Y, Yev, Y, Y, N, [43,11.6], [141,22.2], 5, 石狩, イシカリ, Ishikari
14136, C, Y, Y, Y, Y, Yev, N, N, N, [43,6.6], [141,36.1], 8, 江別, エベツ, Ebetsu
14157, C, N, Y, N, N, N, N, N, N, [43,5.0], [141,12.1], 568, 手稲山, テイネヤマ, Mt.Teine
14163, A, Y, Y, Y, Y, Y, Y, Y, Y, [43,3.6], [141,19.7], 17, 札幌, サッポロ, Sapporo
14191, C, N, Y, N, N, N, Y, N, N, [42,57.8], [141,13.0], 230, 小金湯, コガネユ, Koganeyu
14206, C, Y, Y, Y, Y, Yev, Y, N, N, [42,55.6], [141,33.9], 30, 恵庭島松, エニワシママツ, Eniwa-Shimamatsu
14286, C, Y, Y, Y, Y, Yev, N, N, N, [42,46.3], [141,24.4], 290, 支笏湖畔, シコツコハン, Lake-shore Shikotsu
14296, C, Y, Y, Y, Y, N, Y, N, N, [42,46.5], [141,41.5], 22, 千歳, チトセ：新千歳空港, Chitose
15041, C, Y, Y, Y, Y, Yev, Y, N, N, [44,16.9], [142,9.7], 255, 朱鞠内, シュマリナイ, Shumarinai
15076, C, Y, Y, Y, Y, Yev, Y, N, N, [44,0.6], [142,9.6], 159, 幌加内, ホロカナイ, Horokanai
15116, C, Y, Y, Y, Y, Yev, Y, N, N, [43,48.9], [141,55.6], 63, 石狩沼田, イシカリヌマタ, Ishikari-Numata
15156, G, Y, Y, Y, Y, Yev, Y, Y, N, [43,46.8], [141,57.7], 51, 秩父別, チップベツ, Chippubetsu
15161, C, Y, Y, Y, Y, Yev, Y, N, N, [43,43.1], [142,4.4], 55, 深川, フカガワ, Fukagawa
15197, C, N, Y, N, N, N, N, N, N, [43,39.6], [141,53.5], 42, 雨竜, ウリュウ, Uryu
15216, C, N, Y, N, N, N, N, N, N, [43,36.7], [142,12.2], 147, 新城, シンジョウ, Shinjo
15231, C, Y, Y, Y, Y, Yev, N, N, N, [43,35.7], [141,43.9], 100, 空知吉野, ソラチヨシノ, Sorachi-Yoshino
15241, C, Y, Y, Y, Y, Yev, Y, Y, N, [43,34.2], [141,56.3], 50, 滝川, タキカワ, Takikawa
15247, C, N, Y, N, N, N, N, N, N, [43,33.2], [142,4.0], 120, 赤平, アカビラ, Akabira
15251, C, Y, Y, Y, Y, Yev, Y, N, N, [43,31.2], [142,11.4], 91, 芦別, アシベツ, Ashibetsu
15276, C, N, Y, N, N, N, N, N, N, [43,25.7], [141,48.5], 25, 浦臼, ウラウス, Urausu
15311, C, Y, Y, Y, Y, Yev, N, N, N, [43,19.8], [141,37.0], 50, 月形, ツキガタ, Tsukigata
15321, C, Y, Y, Y, Y, Yev, Y, N, N, [43,21.8], [141,49.6], 16, 美唄, ビバイ, Bibai
15356, B, Y, Y, Y, Y, Y, Y, Y, Y, [43,12.7], [141,47.1], 42, 岩見沢, イワミザワ, Iwamizawa
15391, C, N, Y, N, N, N, N, N, N, [43,7.3], [141,44.7], 20, 栗沢, クリサワ, Kurisawa
15431, C, Y, Y, Y, Y, Yev, N, Y, N, [43,0.7], [141,41.6], 13, 長沼, ナガヌマ, Naganuma
15442, C, Y, Y, Y, Y, Yev, Y, Y, N, [43,2.3], [141,57.4], 293, 夕張, ユウバリ, Yubari
15451, C, N, Y, N, N, N, N, N, N, [43,4.8], [142,6.0], 310, 鹿島, カシマ, Kashima
15491, C, N, Y, N, N, N, N, N, N, [42,57.6], [142,1.2], 161, 沼の沢, ヌマノサワ, Numanosawa
16026, C, Y, Y, Y, Y, Yev, N, N, N, [43,16.3], [140,33.8], 75, 美国, ビクニ, Bikuni
16061, C, Y, Y, Y, Y, Yev, N, Y, N, [43,8.7], [140,25.4], 50, 神恵内, カモエナイ, Kamoenai
16076, C, Y, Y, Y, Y, Yev, Y, N, N, [43,10.9], [140,45.5], 20, 余市, ヨイチ, Yoichi
16091, B, Y, Y, Y, Y, Y, Y, Y, Y, [43,10.9], [141,0.9], 25, 小樽, オタル, Otaru
16126, C, N, Y, N, N, N, Y, N, N, [43,5.0], [140,49.2], 148, 赤井川, アカイガワ, Akaigawa
16156, C, Y, Y, Y, Y, Yev, Y, N, N, [42,58.8], [140,36.2], 15, 共和, キョウワ, Kyowa
16206, C, Y, Y, Y, Y, Yev, Y, N, N, [42,48.6], [140,32.5], 39, 蘭越, ランコシ, Rankoshi
16217, B, Y, Y, Y, Y, Y, Y, Y, Y, [42,54.0], [140,45.4], 176, 倶知安, クッチャン, Kutchan
16252, B, Y, Y, Y, Y, Y, Y, Y, Y, [42,47.7], [140,13.4], 33, 寿都, スッツ, Suttsu
16272, C, N, Y, N, N, N, N, N, N, [42,46.7], [140,40.0], 113, ニセコ, ニセコ, Niseko
16281, C, Y, Y, Y, Y, Yev, N, N, N, [42,46.5], [140,52.8], 440, 真狩, マッカリ, Makkari
16286, C, Y, Y, Y, Y, Yev, Y, N, N, [42,47.6], [140,56.9], 264, 喜茂別, キモベツ, Kimobetsu
16321, C, Y, Y, Y, Y, Yev, Y, N, N, [42,39.8], [140,18.6], 27, 黒松内, クロマツナイ, Kuromatsunai
17036, B, Y, Y, Y, Y, Y, Y, Y, Y, [44,34.8], [142,57.8], 14, 雄武, オウム, Omu
17076, C, Y, Y, Y, Y, Yev, N, Y, N, [44,28.2], [143,6.5], 8, 興部, オコッペ, Okoppe
17091, C, Y, Y, Y, Y, Yev, Y, N, N, [44,19.9], [142,56.1], 120, 西興部, ニシオコッペ, Nishi-Okoppe
17112, B, Y, Y, Y, Y, Y, Y, Y, Y, [44,20.7], [143,21.3], 16, 紋別, モンベツ, Mombetsu
17116, C, Y, Y, Y, Y, N, Y, N, N, [44,18.2], [143,24.2], 18, 紋別小向, モンベツコムカイ：紋別空港, Mombetsu-Komukai
17166, C, Y, Y, Y, Y, Yev, N, N, N, [44,12.8], [143,37.1], 5, 湧別, ユウベツ, Yubetsu
17196, C, Y, Y, Y, Y, Yev, Y, N, N, [44,10.6], [143,3.7], 165, 滝上, タキノウエ, Takinoue
17211, C, N, Y, N, N, N, N, N, N, [44,11.2], [143,20.1], 94, 上藻別, カミモベツ, Kamimobetsu
17246, C, Y, Y, Y, Y, Yev, N, N, N, [44,6.9], [144,2.2], 3, 常呂, トコロ, Tokoro
17306, C, Y, Y, Y, Y, Yev, Y, N, N, [44,3.2], [143,32.4], 80, 遠軽, エンガル, Engaru
17316, C, Y, Y, Y, Y, Yev, Y, N, N, [44,1.1], [143,45.6], 54, 佐呂間, サロマ, Saroma
17341, A, Y, Y, Y, Y, Y, Y, Y, Y, [44,1.0], [144,16.7], 38, 網走, アバシリ, Abashiri
17351, C, Y, Y, Y, Y, Yev, Y, N, N, [44,3.1], [144,58.9], 144, 宇登呂, ウトロ, Utoro
17386, C, N, Y, N, N, N, N, N, N, [43,57.1], [143,19.7], 242, 丸瀬布, マルセップ, Maruseppu
17482, C, Y, Y, Y, Y, Yev, Y, N, N, [43,51.9], [143,9.2], 475, 白滝, シラタキ, Shirataki
17501, C, Y, Y, Y, Y, Yev, N, N, N, [43,55.0], [143,31.9], 199, 生田原, イクタハラ, Ikutahara
17512, C, N, Y, N, N, N, N, N, N, [43,51.6], [143,44.8], 261, 仁頃山, ニコロヤマ, Mt.Nikoro
17521, C, Y, Y, Y, Y, Yev, Y, Y, N, [43,46.6], [143,50.5], 104, 北見, キタミ, Kitami
17531, C, Y, Y, Y, Y, N, Y, N, N, [43,52.8], [144,9.8], 33, 女満別, メマンベツ：女満別空港, Memanbetsu
17541, C, N, Y, N, N, N, N, N, N, [43,50.4], [144,17.1], 58, 東藻琴, ヒガシモコト, Higashi-Mokoto
17546, C, Y, Y, Y, Y, Yev, N, N, N, [43,50.5], [144,29.1], 52, 小清水, コシミズ, Koshimizu
17561, C, Y, Y, Y, Y, Yev, Y, N, N, [43,53.1], [144,42.0], 15, 斜里, シャリ, Shari
17596, C, Y, Y, Y, Y, Yev, Y, N, N, [43,44.5], [143,27.0], 325, 留辺蘂, ルベシベ, Rubeshibe
17607, C, Y, Y, Y, Y, Yev, N, N, N, [43,42.4], [143,38.6], 184, 境野, サカイノ, Sakaino
17631, C, Y, Y, Y, Y, Yev, N, N, N, [43,46.2], [144,10.3], 60, 美幌, ビホロ, Bihoro
17642, C, N, Y, N, N, N, N, N, N, [43,44.6], [144,20.2], 361, 山園, ヤマゾノ, Yamazono
17686, C, N, Y, N, N, N, N, N, N, [43,37.2], [143,26.4], 368, 置戸常元, オケトツネモト, Oketo-Tsunemoto
17717, C, Y, Y, Y, Y, Yev, Y, N, N, [43,42.1], [144,2.0], 100, 津別, ツベツ, Tsubetsu
17776, C, N, Y, N, N, N, N, N, N, [43,35.0], [143,51.9], 210, 津別二又, ツベツフタマタ, Tsubetsu-Futamata
18038, C, Y, Y, Y, Y, Yev, Y, Y, N, [44,1.4], [145,11.2], 15, 羅臼, ラウス, Rausu
18091, C, N, Y, N, N, N, N, N, N, [43,43.3], [144,59.3], 115, 糸櫛別, イトクシベツ, Itokushibetsu
18136, C, Y, Y, Y, Y, Yev, N, N, N, [43,39.7], [145,7.9], 3, 標津, シベツ, Shibetsu
18161, C, Y, Y, Y, Y, Yev, N, N, N, [43,31.2], [144,44.8], 160, 上標津, カミシベツ, Kami-shibetsu
18171, C, Y, Y, Y, Y, Yev, Y, Y, N, [43,32.6], [144,58.7], 50, 中標津, ナカシベツ, Naka-shibetsu
18174, C, Y, Y, Y, Y, N, Y, N, N, [43,34.6], [144,57.6], 65, 根室中標津, ネムロナカシベツ：中標津空港, Nemuro-Nakashibetsu
18256, C, Y, Y, Y, Y, Yev, Y, N, N, [43,22.9], [145,7.1], 23, 別海, ベツカイ, Betsukai
18273, B, Y, Y, Y, Y, Y, Y, Y, Y, [43,19.8], [145,35.1], 25, 根室, ネムロ, Nemuro
18281, C, Y, Y, Y, Y, Yev, N, N, N, [43,23.6], [145,45.5], 12, 納沙布, ノサップ, Nosappu
18311, C, Y, Y, Y, Y, Yev, Y, N, N, [43,13.3], [145,13.6], 41, 厚床, アットコ, Attoko
19021, C, Y, Y, Y, Y, Yev, Y, N, N, [43,37.0], [144,27.4], 158, 川湯, カワユ, Kawayu
19051, C, Y, Y, Y, Y, Yev, N, N, N, [43,30.6], [144,28.0], 170, 弟子屈, テシカガ, Teshikaga
19076, C, Y, Y, Y, Y, Yev, Y, N, N, [43,26.2], [144,5.0], 426, 阿寒湖畔, アカンコハン, Lake-Shore Akan
19151, C, Y, Y, Y, Y, Yev, Y, N, N, [43,17.5], [144,35.2], 20, 標茶, シベチャ, Shibecha
19191, C, Y, Y, Y, Y, Yev, Y, N, N, [43,13.9], [144,19.5], 38, 鶴居, ツルイ, Tsurui
19261, C, Y, Y, Y, Y, Yev, Y, N, N, [43,11.9], [144,8.5], 80, 中徹別, ナカテシベツ, Nakateshibetsu
19281, C, N, Y, N, N, N, N, N, N, [43,8.9], [144,29.8], 25, 塘路, トウロ, Toro
19301, C, N, Y, N, N, N, N, N, N, [43,10.4], [144,58.0], 70, 茶内原野, チャナイゲンヤ, Chyanaigenya
19311, C, Y, Y, Y, Y, Yev, N, Y, N, [43,7.2], [145,6.6], 2, 榊町, サカキマチ, Sakakimachi
19346, C, N, Y, N, N, N, N, N, N, [43,6.8], [144,7.4], 40, 阿寒, アカン, Akan
19347, C, Y, Y, Y, Y, N, Y, N, N, [43,2.4], [144,11.5], 95, 鶴丘, ツルオカ：釧路空港, Tsuruoka
19376, C, Y, Y, Y, Y, Yev, Y, N, N, [43,5.4], [144,46.7], 85, 太田, オオタ, Ota
19406, C, N, Y, N, N, N, N, N, N, [42,58.3], [143,52.5], 45, 二俣, フタマタ, Futamata
19416, C, Y, Y, Y, Y, Yev, Y, N, N, [42,58.2], [144,3.7], 9, 白糠, シラヌカ, Shiranuka
19432, A, Y, Y, Y, Y, Y, Y, Y, Y, [42,59.1], [144,22.6], 5, 釧路, クシロ, Kushiro
19451, C, Y, Y, Y, Y, Yev, N, Y, N, [42,56.3], [144,44.1], 149, 知方学, チッポマナイ, Chippomanai
20047, C, N, Y, N, N, N, N, N, N, [43,30.6], [143,8.9], 660, 三股, ミツマタ, Mitsumata
20071, C, N, Y, N, N, N, N, N, N, [43,35.3], [143,40.8], 313, 小利別, ショウトシベツ, Shotoshibetsu
20146, C, Y, Y, Y, Y, Yev, Y, Y, N, [43,28.3], [143,45.2], 210, 陸別, リクベツ, Rikubetsu
20186, C, Y, Y, Y, Y, Yev, Y, Y, N, [43,22.0], [143,11.5], 540, ぬかびら源泉郷, ヌカビラゲンセンキョウ, Nukabiragensenkyo
20202, C, N, Y, N, N, N, N, N, N, [43,21.7], [143,27.5], 378, 柏倉, カシワクラ, Kashiwakura
20222, C, N, Y, N, N, N, N, N, N, [43,19.1], [143,48.1], 232, 上螺湾, カミラワン, Kami-rawan
20266, C, Y, Y, Y, Y, Yev, Y, Y, N, [43,14.5], [143,17.7], 287, 上士幌, カミシホロ, Kamishihoro
20276, C, Y, Y, Y, Y, Yev, N, N, N, [43,14.6], [143,33.2], 90, 足寄, アショロ, Ashoro
20331, C, N, Y, N, N, N, N, N, N, [43,6.9], [143,26.6], 104, 押帯, オショップ, Oshoppu
20341, C, Y, Y, Y, Y, Yev, Y, Y, N, [43,7.9], [143,36.0], 67, 本別, ホンベツ, Honbetsu
20356, C, Y, Y, Y, Y, Yev, Y, N, N, [43,4.6], [142,50.4], 178, 新得, シントク, Shintoku
20361, C, Y, Y, Y, Y, Yev, N, N, N, [43,6.2], [142,59.7], 206, 鹿追, シカオイ, Shikaoi
20371, C, Y, Y, Y, Y, Yev, N, N, N, [43,3.0], [143,11.0], 112, 駒場, コマバ, Komaba
20421, C, Y, Y, Y, Y, Yev, Y, N, N, [42,54.0], [143,2.6], 90, 芽室, メムロ, Memuro
20432, B, Y, Y, Y, Y, Y, Y, Y, Y, [42,55.3], [143,12.7], 38, 帯広, オビヒロ, Obihiro
20441, C, Y, Y, Y, Y, Yev, N, N, N, [42,55.2], [143,27.5], 42, 池田, イケダ, Ikeda
20451, C, N, Y, N, N, N, N, N, N, [42,55.0], [143,39.7], 40, 留真, ルシン, Rushin
20506, C, Y, Y, Y, Y, Yev, Y, N, N, [42,48.5], [143,39.4], 20, 浦幌, ウラホロ, Urahoro
20551, C, Y, Y, Y, Y, N, Y, N, N, [42,44.0], [143,13.0], 149, 帯広泉, オビヒロイズミ：帯広空港, Obihiroizumi
20556, C, Y, Y, Y, Y, Yev, N, N, N, [42,47.2], [143,19.7], 70, 糠内, ヌカナイ, Nukanai
20601, C, Y, Y, Y, Y, Yev, Y, N, N, [42,38.5], [143,5.8], 251, 上札内, カミサツナイ, Kami-satsunai
20606, C, Y, Y, Y, Y, Yev, N, N, N, [42,39.1], [143,11.7], 185, 更別, サラベツ, Sarabetsu
20631, C, Y, Y, Y, Y, Yev, N, N, N, [42,41.2], [143,38.8], 4, 大津, オオツ, Otsu
20696, C, Y, Y, Y, Y, Yev, Y, N, N, [42,30.0], [143,16.4], 87, 大樹, タイキ, Taiki
20751, B, Y, Y, Y, Y, Y, Y, Y, Y, [42,17.6], [143,19.0], 32, 広尾, ヒロオ, Hiroo
21031, C, N, Y, N, N, N, Y, N, N, [42,48.8], [141,49.7], 32, 安平, アビラ, Abira
21111, C, Y, Y, Y, Y, Yev, N, N, N, [42,43.8], [141,53.3], 20, 厚真, アツマ, Atsuma
21126, C, Y, Y, Y, Y, Yev, Y, N, N, [42,45.7], [142,8.6], 56, 穂別, ホベツ, Hobetsu
21161, C, Y, Y, Y, Y, Yev, Y, N, N, [42,40.2], [141,4.7], 390, 大滝, オオタキ, Otaki
21171, C, Y, Y, Y, Y, Yev, N, N, N, [42,37.8], [141,14.8], 170, 森野, モリノ, Morino
21187, B, Y, Y, Y, Y, Y, Y, Y, Y, [42,37.4], [141,32.8], 6, 苫小牧, トマコマイ, Tomakomai
21226, C, Y, Y, Y, Y, Yev, Y, Y, N, [42,35.4], [140,38.6], 4, 大岸, オオキシ, Okishi
21237, C, N, Y, N, N, N, N, N, N, [42,33.9], [140,48.4], 85, 洞爺湖温泉, トウヤコオンセン, Toyako Onsen
21251, C, N, Y, N, N, N, N, N, N, [42,31.0], [141,6.4], 300, カルルス, カルルス, Karurusu
21261, C, Y, Y, Y, Y, Yev, Y, N, N, [42,32.6], [141,21.1], 6, 白老, シラオイ, Shiraoi
21276, C, Y, Y, Y, Y, Yev, N, N, N, [42,35.4], [141,56.0], 10, 鵡川, ムカワ, Mukawa
21297, C, Y, Y, Y, Y, Yev, N, N, N, [42,28.5], [140,50.9], 3, 伊達, ダテ, Date
21312, C, Y, Y, Y, Y, Yev, Y, N, N, [42,27.5], [141,7.1], 197, 登別, ノボリベツ, Noboribetsu
21323, A, Y, Y, Y, Y, Y, Y, Y, Y, [42,18.7], [140,58.5], 40, 室蘭, ムロラン, Muroran
22036, C, Y, Y, Y, Y, Yev, Y, N, N, [42,52.6], [142,26.5], 280, 日高, ヒダカ, Hidaka
22072, C, N, Y, N, N, N, N, N, N, [42,46.3], [142,21.5], 150, 仁世宇, ニセウ, Niseu
22106, C, N, Y, N, N, N, Y, N, N, [42,37.7], [142,23.6], 245, 旭, アサヒ, Asahi
22141, C, Y, Y, Y, Y, Yev, N, Y, N, [42,29.8], [142,3.2], 47, 日高門別, ヒダカモンベツ, Hidaka-Monbetsu
22156, C, Y, Y, Y, Y, Yev, N, N, N, [42,32.6], [142,20.0], 60, 新和, シンワ, Shinwa
22206, C, N, Y, N, N, N, N, N, N, [42,26.0], [142,28.9], 110, 笹山, ササヤマ, Sasayama
22241, C, Y, Y, Y, Y, Yev, Y, Y, N, [42,20.6], [142,21.7], 10, 静内, シズナイ, Shizunai
22291, C, Y, Y, Y, Y, Yev, N, N, N, [42,14.7], [142,39.7], 10, 三石, ミツイシ, Mitsuishi
22306, C, Y, Y, Y, Y, Yev, Y, N, N, [42,13.4], [142,56.9], 98, 中杵臼, ナカキネウス, Nakakineusu
22327, B, Y, Y, Y, Y, Y, Y, Y, Y, [42,9.7], [142,46.6], 37, 浦河, ウラカワ, Urakawa
22356, C, N, Y, N, N, N, Y, N, N, [42,7.7], [143,18.7], 7, 目黒, メグロ, Meguro
22366, C, N, Y, N, N, N, N, N, N, [42,4.6], [143,2.1], 0, 幌満, ホロマン, Horoman
22391, C, Y, Y, Y, Y, Yev, N, Y, N, [41,55.5], [143,14.6], 63, えりも岬, エリモミサキ, Cape Erimo
23031, C, Y, Y, Y, Y, Yev, Y, N, N, [42,31.4], [140,22.9], 10, 長万部, オシャマンベ, Oshamanbe
23086, C, Y, Y, Y, Y, Yev, Y, N, N, [42,15.1], [140,16.3], 8, 八雲, ヤクモ, Yakumo
23166, C, Y, Y, Y, Y, Yev, Y, N, N, [42,4.0], [140,35.3], 125, 森, モリ, Mori
23191, C, N, Y, N, N, N, Y, N, N, [41,58.6], [140,42.9], 165, 大沼, オオヌマ, Lake Onuma
23206, C, Y, Y, Y, Y, Yev, N, Y, N, [41,54.3], [140,58.2], 25, 川汲, カックミ, Kakkumi
23226, C, Y, Y, Y, Y, Yev, N, N, N, [41,53.2], [140,39.2], 25, 北斗, ホクト, Hokuto
23232, A, Y, Y, Y, Y, Y, Y, Y, Y, [41,49.0], [140,45.2], 35, 函館, ハコダテ, Hakodate
