都府県振興局,観測所番号,種類,観測装置の種類,観測_降水量,観測_気温,観測_風向,観測_風速,観測_相対湿度,観測_日照時間,降雪の深さ,観測所名,カタカナ名,所在地,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ), 風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,備考1,備考2
上川,12457,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,瑞穂,ミズホ,旭川市東旭川町瑞穂,43,44.2,142,38.3,289,-,-,1984.10.8,-,-
上川,12471,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,層雲峡,ソウウンキョウ,上川郡上川町層雲峡高山,43,45.2,142,55.8,540,-,-,1975.5.27,12930,-
上川,12501,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,東神楽,ヒガシカグラ,上川郡東神楽町東2線_旭川航空気象観測所,43,40.2,142,26.8,211,10,-,2003.1.1,12932,Excluding sunlight/humidity/atmospheric pressure
上川,12512,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,志比内,シビナイ,上川郡東神楽町志比内,43,38.6,142,34.9,310,10,1.5,1992.10.9,-,Excluding humidity
上川,12551,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,美瑛,ビエイ,上川郡美瑛町原野5線,43,35.3,142,29.6,250,10,1.5,(1975.5.28)1977.10.6,12935,Excluding humidity
上川,12596,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,上富良野,カミフラノ,空知郡上富良野町大町,43,27.3,142,27.9,220,10,2.1,1977.10.8,-,Excluding humidity
上川,12607,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,白金,シロガネ,上川郡美瑛町白金,43,28.5,142,39,658,-,-,1984.10.8,-,-
上川,12626,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,富良野,フラノ,富良野市東町,43,20,142,24,174,9.4,2.2,#1976.4.1,12940,Excluding humidity
上川,12632,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,麓郷,ロクゴウ,富良野市麓郷市街地,43,18.1,142,31.3,315,10,2.3,1978.10.25,-,Excluding humidity
上川,12686,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,金山,カナヤマ,空知郡南富良野町金山地先,43,8.3,142,25,284,-,-,2005.11.17,-,-
上川,12691,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,幾寅,イクトラ,空知郡南富良野町幾寅,43,10.1,142,34.1,350,9.4,1.5,1977.10.7,12945,Excluding humidity
上川,12746,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,占冠,シムカップ,勇払郡占冠村中央,42,58.7,142,23.7,332,10,1.5,1977.10.7,12950,Excluding humidity
上川,15041,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,朱鞠内,シュマリナイ,雨竜郡幌加内町朱鞠内,44,16.9,142,9.7,255,10,1.5,1978.10.24,15900,Excluding humidity
上川,15076,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,幌加内,ホロカナイ,雨竜郡幌加内町幌加内,44,0.6,142,9.6,159,9.4,1.5,(1975.5.28)1977.10.28,15905,Excluding humidity
留萌,13061,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,天塩,テシオ,天塩郡天塩町川口,44,53.6,141,45.7,9,10,1.5,#1977.10.26,13900,Excluding humidity
留萌,13086,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,遠別,エンベツ,天塩郡遠別町幸和,44,43.1,141,48.4,7,10,1.5,#1977.10.26,-,Excluding humidity
留萌,13121,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,初山別,ショサンベツ,苫前郡初山別村初山別,44,31.4,141,46.2,27,10,1.5,1977.10.28,13905,Excluding humidity
留萌,13146,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,焼尻,ヤギシリ,苫前郡羽幌町焼尻白浜,44,25.7,141,25.3,38,8,1.5,1977.10.27,-,Excluding humidity
留萌,13181,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,羽幌,ハボロ,苫前郡羽幌町南3条_羽幌特別地域気象観測所,44,21.8,141,42,8,21.6,-,#1976.1.1,13907,-
留萌,13206,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,古丹別,コタンベツ,苫前郡苫前町古丹別,44,15.9,141,43.3,15,-,-,1976.8.4,13910,-
留萌,13261,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,達布,タップ,留萌郡小平町達布,44,2.9,141,51.4,30,10,3.4,1977.10.31,-,Excluding humidity
留萌,13277,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,留萌,ルモイ,留萌市大町_留萌特別地域気象観測所,43,56.7,141,37.9,24,16.3,-,1980.6.21,13915,-
留萌,13311,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,増毛,マシケ,増毛郡増毛町別苅,43,50.9,141,30.6,20,9.4,1.5,#1978.10.24,-,Excluding humidity
留萌,13321,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,幌糠,ホロヌカ,留萌市幌糠町,43,51.2,141,45.6,20,10,1.5,1977.10.31,13920,Excluding humidity
石狩,14026,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,浜益,ハママス,石狩市浜益区川下,43,34.9,141,23.2,3,10,1.5,1977.10.12,-,Excluding humidity
石狩,14071,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,厚田,アツタ,石狩市厚田区別狩,43,23.8,141,26.2,5,10,1.5,1977.10.12,14900,Excluding humidity
石狩,14101,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,新篠津,シンシノツ,石狩郡新篠津村第46線北,43,13.2,141,38.7,9,10,1.5,#1978.10.23,14910,Excluding humidity
石狩,14116,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,山口,ヤマグチ,札幌市手稲区手稲山口,43,8.9,141,13.3,5,10,1.5,#1977.10.11,-,Excluding humidity
石狩,14121,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,石狩,イシカリ,石狩市生振,43,11.6,141,22.2,5,10,1.5,1990.3.6,14905,-
石狩,14136,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,江別,エベツ,江別市江別太,43,6.6,141,36.1,8,8,1.5,2000.10.31,-,Excluding humidity
石狩,14157,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,手稲山,テイネヤマ,札幌市手稲区手稲金山,43,5,141,12.1,568,-,-,2010.3.24,-,-
石狩,14163,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,札幌,サッポロ,札幌市中央区北2条西_札幌管区気象台,43,3.6,141,19.7,17,-,-,2001.9.26,14913,Air temperature/rain/sunshine
石狩,14163,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,札幌,サッポロ,札幌市中央区北2条西,43,3.6,141,19.6,17,59.5,-,2001.9.26,-, Wind
石狩,14191,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,小金湯,コガネユ,札幌市南区小金湯,42,57.8,141,13,230,-,-,#,14915,-
石狩,14206,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,恵庭島松,エニワシママツ,恵庭市下島松,42,55.6,141,33.9,30,10,1.5,#1977.10.13,14920,Excluding humidity
石狩,14286,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,支笏湖畔,シコツコハン,千歳市支笏湖温泉番外地,42,46.3,141,24.4,290,10,1.5,#1977.10.14,-,Excluding humidity
石狩,14296,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,千歳,チトセ,千歳市美々_新千歳航空測候所,42,46.5,141,41.5,22,9.8,-,2003.1.1,14923,Excluding sunlight/humidity/atmospheric pressure
空知,15116,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,石狩沼田,イシカリヌマタ,雨竜郡沼田町緑町,43,48.9,141,55.6,63,10,1.5,#1976.4.1,-,Excluding humidity
空知,15161,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,深川,フカガワ,深川市一已町一已,43,43.1,142,4.4,55,10,1.5,#1977.10.7,15910,Excluding humidity
空知,15197,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,雨竜,ウリュウ,雨竜郡雨竜町満寿,43,39.6,141,53.5,42,-,-,2005.11.1,-,-
空知,15216,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,新城,シンジョウ,芦別市新城,43,36.7,142,12.2,147,-,-,1984.10.5,-,-
空知,15231,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,空知吉野,ソラチヨシノ,樺戸郡新十津川町吉野,43,35.7,141,43.9,100,10,1.5,1978.11.2,-,Excluding humidity
空知,15241,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,滝川,タキカワ,滝川市南滝の川,43,34.2,141,56.3,50,9.6,1.5,#1976.4.1,15930,Excluding humidity
空知,15247,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,赤平,アカビラ,赤平市東豊里町,43,33.2,142,4,120,-,-,2005.10.31,-,-
空知,15251,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,芦別,アシベツ,芦別市北2条東,43,31.2,142,11.4,91,10,1.5,#1978.10.25,15915,Excluding humidity
空知,15276,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,浦臼,ウラウス,樺戸郡浦臼町浦臼内,43,25.7,141,48.5,25,-,-,1983.8.2,-,-
空知,15311,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,月形,ツキガタ,樺戸郡月形町知来乙,43,19.8,141,37,50,10,1.5,(1975.5.16)1977.10.6,-,Excluding humidity
空知,15321,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,美唄,ビバイ,美唄市北美唄町二区,43,21.8,141,49.6,16,10,1.5,#1977.10.5,15920,Excluding humidity
空知,15356,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,岩見沢,イワミザワ,岩見沢市5条東_岩見沢特別地域気象観測所,43,12.7,141,47.1,42,22.1,-,#1975.4.3,15923,-
空知,15391,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,栗沢,クリサワ,岩見沢市栗沢町東本町,43,7.3,141,44.7,20,-,-,1975.6.7,-,-
空知,15431,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,長沼,ナガヌマ,夕張郡長沼町本町北,43,0.7,141,41.6,13,10,2.5,#1977.10.5,-,-
空知,15442,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,夕張,ユウバリ,夕張市鹿の谷山手町,43,2.3,141,57.4,293,10,1.5,#1976.4.1,15925,-
空知,15451,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,鹿島,カシマ,夕張市鹿島富士見町,43,4.8,142,6,310,-,-,1983.8.2,-,-
空知,15491,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,沼の沢,ヌマノサワ,夕張市沼ノ沢,42,57.6,142,1.2,161,-,-,1983.8.2,-,-
後志,16026,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,美国,ビクニ,積丹郡積丹町美国町船澗,43,16.3,140,33.8,75,10,1.5,#1977.10.25,-,Excluding humidity
後志,16061,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,神恵内,カモエナイ,古宇郡神恵内村神恵内村,43,8.7,140,25.4,50,10,1.5,1977.10.24,-,Excluding humidity
後志,16076,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,余市,ヨイチ,余市郡余市町豊丘町,43,10.9,140,45.5,20,10,1.5,#1977.10.31,16905,Excluding humidity
後志,16091,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,小樽,オタル,小樽市勝納町_小樽特別地域気象観測所,43,10.9,141,0.9,25,13.6,-,#1975.12.23,16903,-
後志,16126,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,赤井川,アカイガワ,余市郡赤井川村赤井川,43,5,140,49.2,148,-,-,1976.5.12,16900,-
後志,16156,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,共和,キョウワ,岩内郡共和町南幌似,42,58.8,140,36.2,15,10,1.5,#1977.10.24,16910,Excluding humidity
後志,16206,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,蘭越,ランコシ,磯谷郡蘭越町蘭越,42,48.6,140,32.5,39,8,1.5,#1977.10.20,16915,Excluding humidity
後志,16217,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,倶知安,クッチャン,虻田郡倶知安町南1条東_倶知安特別地域気象観測所,42,54,140,45.4,176,30.8,-,1991.8.28,16917,-
後志,16252,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,寿都,スッツ,寿都郡寿都町新栄町_寿都特別地域気象観測所,42,47.7,140,13.4,33,17.6,-,1989.9.22,16918,-
後志,16272,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,ニセコ,ニセコ,虻田郡ニセコ町宮田,42,46.7,140,40,113,-,-,2010.3.11,-,-
後志,16281,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,真狩,マッカリ,虻田郡真狩村美原,42,46.5,140,52.8,440,10,3.3,(1975.7.1)1978.10.27,-,Excluding humidity
後志,16286,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,喜茂別,キモベツ,虻田郡喜茂別町伏見,42,47.6,140,56.9,264,10,2.9,#1977.10.21,16920,Excluding humidity
後志,16321,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,黒松内,クロマツナイ,寿都郡黒松内町黒松内,42,39.8,140,18.6,27,10,1.5,#1977.10.20,16925,Excluding humidity
オホーツク,17036,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,雄武,オウム,紋別郡雄武町雄武_雄武特別地域気象観測所,44,34.8,142,57.8,14,16.6,-,#1975.12.1,17903,-
オホーツク,17076,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,興部,オコッペ,紋別郡興部町興部,44,28.2,143,6.5,8,10,2.5,#1977.10.28,-,Excluding humidity
オホーツク,17091,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,西興部,ニシオコッペ,紋別郡西興部村西興部,44,19.9,142,56.1,120,8,2.5,(1975.7.1)1977.10.28,17900,Excluding humidity
オホーツク,17112,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,紋別,モンベツ,紋別市南が丘町_紋別特別地域気象観測所,44,20.7,143,21.3,16,13.6,-,1983.1.1,17904,-
オホーツク,17116,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,紋別小向,モンベツコムカイ,紋別市小向_紋別航空気象観測所,44,18.2,143,24.2,18,10.4,-,2003.1.1,17960,Excluding sunlight/humidity/atmospheric pressure
オホーツク,17166,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,湧別,ユウベツ,紋別郡湧別町東,44,12.8,143,37.1,5,9.4,2.5,#1977.10.26,-,Excluding humidity
オホーツク,17196,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,滝上,タキノウエ,紋別郡滝上町滝ノ上原野5線南,44,10.6,143,3.7,165,10,2.5,#1977.10.27,17905,Excluding humidity
オホーツク,17211,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,上藻別,カミモベツ,紋別市上藻別,44,11.2,143,20.1,94,-,-,#,-,-
オホーツク,17246,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,常呂,トコロ,北見市常呂町岐阜,44,6.9,144,2.2,3,10,2.5,#1977.10.21,-,Excluding humidity
オホーツク,17306,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,遠軽,エンガル,紋別郡遠軽町東町,44,3.2,143,32.4,80,10,2.5,#1977.10.24,17910,Excluding humidity
オホーツク,17316,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,佐呂間,サロマ,常呂郡佐呂間町西富,44,1.1,143,45.6,54,10,2.5,#1977.10.21,17915,Excluding humidity
オホーツク,17341,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,網走,アバシリ,網走市台町_網走地方気象台,44,1,144,16.7,38,20,-,#1975.4.1,17917,-
オホーツク,17351,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,宇登呂,ウトロ,斜里郡斜里町ウトロ高原,44,3.1,144,58.9,144,10,2.5,(1975.5.12)1978.10.26,17935,Excluding humidity
オホーツク,17386,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,丸瀬布,マルセップ,紋別郡遠軽町丸瀬布武利,43,57.1,143,19.7,242,-,-,1984.10.5,-,-
オホーツク,17482,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,白滝,シラタキ,紋別郡遠軽町白滝北支湧別,43,51.9,143,9.2,475,10,2.5,(1975.9.25)1993.1.27,17955,Excluding humidity
オホーツク,17501,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,生田原,イクタハラ,紋別郡遠軽町生田原,43,55,143,31.9,199,10,2.5,#1977.10.25,-,Excluding humidity
オホーツク,17512,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,仁頃山,ニコロヤマ,北見市富里,43,51.6,143,44.8,261,-,-,2005.11.2,-,-
